category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005829	26	2919	9606	LAP3,OAS3,NMI,OASL,IFIH1,DTX3L,F2,STAT2,HBA1,MX2,STAT1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFI35,CALCOCO2,PARP14	LAP3,OAS3,NMI,OASL,IFIH1,DTX3L,F2,STAT2,HBA1,MX2,STAT1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFI35,CALCOCO2,PARP14	8.74e-09	2.02e-05	Cytosol
COMPARTMENTS	GOCC:0005737	41	7871	9606	LAP3,OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,DTX3L,F2,STAT2,OS9,SLC25A22,HBA1,PARP10,LIMS2,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	LAP3,OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,DTX3L,F2,STAT2,OS9,SLC25A22,HBA1,PARP10,LIMS2,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.1e-07	0.00013	Cytoplasm
COMPARTMENTS	GOCC:0005622	46	11202	9606	LAP3,OAS3,NMI,TRIM21,OASL,SP110,LGALS3BP,IFIH1,HERC5,NSMCE2,DTX3L,F2,STAT2,OS9,BBX,SLC25A22,HBA1,PARP10,LIMS2,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HELZ2,PARP14	LAP3,OAS3,NMI,TRIM21,OASL,SP110,LGALS3BP,IFIH1,HERC5,NSMCE2,DTX3L,F2,STAT2,OS9,BBX,SLC25A22,HBA1,PARP10,LIMS2,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HELZ2,PARP14	1.1e-05	0.0083	Intracellular
COMPARTMENTS	GOCC:0097071	3	13	9606	IFIH1,DDX58,IRF7	IFIH1,DDX58,IRF7	1.08e-05	0.0083	Interferon regulatory factor complex
COMPARTMENTS	GOCC:0042825	2	3	9606	TAP1,TAP2	TAP1,TAP2	7.4e-05	0.0342	TAP complex
Process	GO:0060337	16	67	9606	OAS3,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	OAS3,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	4.21e-26	5.41e-22	Type i interferon signaling pathway
Process	GO:0045087	27	703	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.2e-24	3.86e-21	Innate immune response
Process	GO:0051607	19	210	9606	OAS3,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,ISG15,DDX58,IRF7,MX1,IFITM3	OAS3,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,ISG15,DDX58,IRF7,MX1,IFITM3	1.13e-23	2.91e-20	Defense response to virus
Process	GO:0098542	28	900	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	3.07e-23	6.57e-20	Defense response to other organism
Process	GO:0006952	30	1296	9606	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.66e-21	3.04e-18	Defense response
Process	GO:0006955	31	1588	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	3.29e-20	4.69e-17	Immune response
Process	GO:0044419	32	1899	9606	OAS3,NMI,TRIM21,OASL,SP110,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,SP110,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	4.24e-19	4.19e-16	Interspecies interaction between organisms
