	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
5	Process	GO:0060337	16	67	9606	OAS3,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	OAS3,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	4.21e-26	5.41e-22	Type i interferon signaling pathway	21.26680273489343	1.233470972345482	26.231983848088557
6	Process	GO:0045087	27	703	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.2e-24	3.8600000000000005e-21	Innate immune response	20.413412695328244	0.4398342315295469	8.978517685745196
7	Process	GO:0051607	19	210	9606	OAS3,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,ISG15,DDX58,IRF7,MX1,IFITM3	OAS3,OASL,IFIH1,HERC5,DTX3L,STAT2,MX2,OAS2,STAT1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,ISG15,DDX58,IRF7,MX1,IFITM3	1.13e-23	2.91e-20	Defense response to virus	19.536107011014092	0.8119600986092934	15.86253937510471
8	Process	GO:0098542	28	900	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	3.07e-23	6.57e-20	Defense response to other organism	19.18243463044022	0.34834131429327797	6.682034490512436
9	Process	GO:0006952	30	1296	9606	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.6600000000000001e-21	3.04e-18	Defense response	17.517126416391246	0.21994204557547153	3.85275261662522
10	Process	GO:0006955	31	1588	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	3.29e-20	4.69e-17	Immune response	16.328827157284916	0.14593698813357886	2.382979855087949
11	Process	GO:0044419	32	1899	9606	OAS3,NMI,TRIM21,OASL,SP110,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,SP110,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	4.24e-19	4.19e-16	Interspecies interaction between organisms	15.377785977033705	0.08205080597327209	1.261759733500097
12	Process	GO:0048525	12	105	9606	OAS3,TRIM21,OASL,PARP10,OAS2,STAT1,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	OAS3,TRIM21,OASL,PARP10,OAS2,STAT1,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	3.15e-16	2.89e-13	Negative regulation of viral process	12.539102157243452	0.9134177393680704	11.453438346174607
13	Process	GO:0006950	37	3485	9606	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,NSMCE2,DTX3L,F2,STAT2,OS9,HBA1,PARP10,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,DDX58,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,NSMCE2,DTX3L,F2,STAT2,OS9,HBA1,PARP10,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,DDX58,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	4.01e-16	3.44e-13	Response to stress	12.46344155742847	-0.11857526597664958	-1.4778558976565084
14	Process	GO:0019221	20	678	9606	OAS3,NMI,TRIM21,OASL,STAT2,MX2,OAS2,STAT1,XAF1,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	OAS3,NMI,TRIM21,OASL,STAT2,MX2,OAS2,STAT1,XAF1,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	8.33e-16	6.69e-13	Cytokine-mediated signaling pathway	12.174573882232178	0.3252260941873014	3.959489112113102
15	Process	GO:0002376	32	2481	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.01e-15	7.67e-13	Immune system process	12.115204636051018	-0.034050993561919554	-0.41253475506351117
16	Process	GO:1903901	11	86	9606	OAS3,TRIM21,OASL,PARP10,OAS2,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	OAS3,TRIM21,OASL,PARP10,OAS2,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	1.93e-15	1.38e-12	Negative regulation of viral life cycle	11.860120913598763	0.9623200263050409	11.413231869555327
17	Process	GO:0002252	22	969	9606	OAS3,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3	OAS3,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,QSOX1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3	3.95e-15	2.67e-12	Immune effector process	11.573488738635424	0.21152469616182448	2.4480786889721555
18	Process	GO:0045071	10	61	9606	OAS3,OASL,PARP10,OAS2,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	OAS3,OASL,PARP10,OAS2,IFI16,IFIT5,IFIT1,ISG15,MX1,IFITM3	4.2e-15	2.7e-12	Negative regulation of viral genome replication	11.568636235841012	1.0700959573796167	12.379550868368813
19	Process	GO:0034097	22	1101	9606	OAS3,NMI,TRIM21,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35,CALCOCO2	OAS3,NMI,TRIM21,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35,CALCOCO2	5.13e-14	3.14e-11	Response to cytokine	10.503070351926786	0.1560611542408381	1.6391212821944199
20	Process	GO:0009605	29	2310	9606	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,EPHB2,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,IFIH1,HERC5,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT5,IFIT1,IFIT3,EPHB2,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	1.15e-13	6.72e-11	Response to external stimulus	10.172630726946174	-0.04578818960280459	-0.46578634448472733
21	Process	GO:0071345	21	1013	9606	OAS3,NMI,TRIM21,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	OAS3,NMI,TRIM21,OASL,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	1.16e-13	6.72e-11	Cellular response to cytokine stimulus	10.172630726946174	0.17203564176402245	1.7500550555385992
22	Process	GO:0060333	9	70	9606	OAS3,NMI,TRIM21,OASL,OAS2,STAT1,GBP1,HLA-C,IRF7	OAS3,NMI,TRIM21,OASL,OAS2,STAT1,GBP1,HLA-C,IRF7	7.99e-13	3.95e-10	Interferon-gamma-mediated signaling pathway	9.40340290437354	0.9645702618154517	9.070242801427764
23	Process	GO:0034341	11	182	9606	OAS3,NMI,TRIM21,OASL,OAS2,STAT1,GBP1,HLA-C,IRF7,IFITM3,CALCOCO2	OAS3,NMI,TRIM21,OASL,OAS2,STAT1,GBP1,HLA-C,IRF7,IFITM3,CALCOCO2	4.15e-12	1.84e-09	Response to interferon-gamma	8.735182176990463	0.636747089563534	5.5621018280059324
24	Process	GO:0032479	9	130	9606	NMI,TRIM21,IFIH1,HERC5,STAT1,IFI16,ISG15,DDX58,IRF7	NMI,TRIM21,IFIH1,HERC5,STAT1,IFI16,ISG15,DDX58,IRF7	1.4e-10	6.02e-08	Regulation of type i interferon production	7.220403508742176	0.6957249495228717	5.023414866654416
25	Process	GO:0044403	16	865	9606	SP110,IFIH1,DTX3L,F2,STAT2,TAP1,STAT1,IFIT1,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,CALCOCO2	SP110,IFIH1,DTX3L,F2,STAT2,TAP1,STAT1,IFIT1,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,CALCOCO2	1.01e-09	4.06e-07	Symbiotic process	6.391473966422806	0.12252966758149425	0.783145180461561
26	Process	GO:0016032	15	776	9606	SP110,IFIH1,DTX3L,STAT2,TAP1,STAT1,IFIT1,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,CALCOCO2	SP110,IFIH1,DTX3L,STAT2,TAP1,STAT1,IFIT1,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,IRF7,CALCOCO2	2.11e-09	8.22e-07	Viral process	6.0851281824599495	0.14165533018787643	0.8619908419219166
27	Process	GO:0007166	24	2325	9606	OAS3,NMI,TRIM21,OASL,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,MLLT11,GBP1,IFIT1,IFIT3,EPHB2,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	OAS3,NMI,TRIM21,OASL,DTX3L,F2,STAT2,MX2,OAS2,STAT1,XAF1,MLLT11,GBP1,IFIT1,IFIT3,EPHB2,PSMB9,PSMB8,HLA-C,ISG15,IRF7,MX1,IFITM3,IFI35	2.55e-09	9.65e-07	Cell surface receptor signaling pathway	6.015472686656207	-0.13078592312398307	-0.7867391483514387
28	Process	GO:0002831	11	406	9606	NMI,HERC5,DTX3L,STAT1,IFI16,IFIT1,PSMB9,PSMB8,DDX58,IRF7,PARP14	NMI,HERC5,DTX3L,STAT1,IFI16,IFIT1,PSMB9,PSMB8,DDX58,IRF7,PARP14	1.48e-08	5.42e-06	Regulation of response to biotic stimulus	5.266000713461613	0.28829244397141457	1.5181482156390613
29	Process	GO:0071310	23	2369	9606	OAS3,NMI,TRIM21,OASL,IFIH1,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35	OAS3,NMI,TRIM21,OASL,IFIH1,STAT2,MX2,OAS2,STAT1,XAF1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,HLA-C,ISG15,DDX58,IRF7,MX1,IFITM3,IFI35	2.1e-08	7.5e-06	Cellular response to organic substance	5.1249387366083	-0.1574114323147885	-0.806723947055055
30	Process	GO:0050896	42	8046	9606	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,NSMCE2,DTX3L,F2,STAT2,OS9,HBA1,PARP10,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,MLLT11,GBP1,IFIT5,IFIT1,IFIT3,EPHB2,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,GPR155,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	OAS3,NMI,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,NSMCE2,DTX3L,F2,STAT2,OS9,HBA1,PARP10,EHD3,MX2,OAS2,TAP1,STAT1,XAF1,QSOX1,IFI16,MLLT11,GBP1,IFIT5,IFIT1,IFIT3,EPHB2,PSMB9,PSMB8,TAP2,HLA-C,ISG15,DDX58,GPR155,DNAJA4,IRF7,MX1,IFITM3,IFI35,CALCOCO2,PARP14	4.75e-08	1.65e-05	Response to stimulus	4.782516055786093	-0.42690494544695845	-2.041679755894565
31	Process	GO:0032647	5	32	9606	NMI,IFIH1,STAT1,DDX58,IRF7	NMI,IFIH1,STAT1,DDX58,IRF7	5.33e-08	1.8e-05	Regulation of interferon-alpha production	4.7447274948966935	1.0492458184064963	4.978385483498687
