category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005829	42	2919	9606	RNASEH2A,OAS3,EIF2AK2,PTPN12,BST2,OASL,PPM1F,HERC6,XRN1,XPO5,DYNC1LI1,UBE2L6,DTX3L,GCN1,STAT2,MAP1S,TACC3,MX2,UBE2V1,PLSCR1,WARS,STAT1,PNP,IFI16,IFIT1,IFIT3,YARS,ISG15,DDX58,SAMD9,PIR,PSPH,LGALS9,MX1,OAS1,IFI35,DHFR,MMS19,PARP14,ARMC8,TXNIP,RNF213	RNASEH2A,OAS3,EIF2AK2,PTPN12,BST2,OASL,PPM1F,HERC6,XRN1,XPO5,DYNC1LI1,UBE2L6,DTX3L,GCN1L1,STAT2,MAP1S,TACC3,MX2,UBE2V1,PLSCR1,WARS,STAT1,PNP,IFI16,IFIT1,IFIT3,YARS,ISG15,DDX58,SAMD9,PIR,PSPH,LGALS9,MX1,OAS1,IFI35,DHFR,MMS19,PARP14,ARMC8,TXNIP,RNF213	1.81e-15	4.18e-12	Cytosol
COMPARTMENTS	GOCC:0005737	61	7871	9606	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,PPM1F,HERC6,XRN1,XPO5,DYNC1LI1,UBE2L6,DTX3L,PCLAF,GCN1,ISG20,STAT2,COG4,HMGCS1,MAP1S,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,PLSCR1,WARS,DYNLRB1,PARP9,STAT1,PNP,IFI16,CTSS,IFIT1,IFIT3,IFIT2,YARS,HLA-E,ISG15,DDX58,SAMD9,TRIM22,PIR,PSPH,LGALS9,MX1,OAS1,IFI35,DHFR,MMS19,PARP14,ARMC8,TXNIP,RNF213,LSM4	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,PPM1F,HERC6,XRN1,XPO5,DYNC1LI1,UBE2L6,DTX3L,KIAA0101,GCN1L1,ISG20,STAT2,COG4,HMGCS1,MAP1S,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,PLSCR1,WARS,DYNLRB1,PARP9,STAT1,PNP,IFI16,CTSS,IFIT1,IFIT3,IFIT2,YARS,HLA-E,ISG15,DDX58,SAMD9,TRIM22,PIR,PSPH,LGALS9,MX1,OAS1,IFI35,DHFR,MMS19,PARP14,ARMC8,TXNIP,RNF213,LSM4	1.01e-11	1.16e-08	Cytoplasm
COMPARTMENTS	GOCC:0005622	71	11202	9606	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,DYNC1LI1,UBE2L6,DTX3L,PCLAF,GCN1,ISG20,STAT2,COG4,HMGCS1,MAP1S,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,PLSCR1,WARS,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,ISG15,DDX58,SAMD9,TRIM22,PIR,PSPH,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,MMS19,HELZ2,PARP14,ARMC8,TOP3A,TUBB8,TXNIP,RNF213,LSM4	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,DYNC1LI1,UBE2L6,DTX3L,KIAA0101,GCN1L1,ISG20,STAT2,COG4,HMGCS1,MAP1S,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,PLSCR1,WARS,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,ISG15,DDX58,SAMD9,TRIM22,PIR,PSPH,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,MMS19,HELZ2,PARP14,ARMC8,TOP3A,TUBB8,TXNIP,RNF213,LSM4	5.41e-11	4.16e-08	Intracellular
COMPARTMENTS	GOCC:0043229	59	9242	9606	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,SP110,SAMHD1,HERC6,XRN1,XPO5,POLA2,DYNC1LI1,DTX3L,PCLAF,GCN1,ISG20,STAT2,COG4,MAP1S,TACC3,SETD3,MX2,SEC23B,OAS2,SP100,PLSCR1,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,IFIT5,IFIT3,IFIT2,HLA-E,ISG15,DDX58,TRIM22,PIR,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,MMS19,HELZ2,ARMC8,TOP3A,TUBB8,RNF213,LSM4	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,SP110,SAMHD1,HERC6,XRN1,XPO5,POLA2,DYNC1LI1,DTX3L,KIAA0101,GCN1L1,ISG20,STAT2,COG4,MAP1S,TACC3,SETD3,MX2,SEC23B,OAS2,SP100,PLSCR1,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,IFIT5,IFIT3,IFIT2,HLA-E,ISG15,DDX58,TRIM22,PIR,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,MMS19,HELZ2,ARMC8,TOP3A,TUBB8,RNF213,LSM4	3.13e-07	0.00018	Intracellular organelle
COMPARTMENTS	GOCC:0110165	72	13853	9606	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,DYNC1LI1,UBE2L6,DTX3L,PCLAF,GCN1,ISG20,STAT2,COG4,HMGCS1,MAP1S,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,PLSCR1,WARS,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,ISG15,DDX58,SAMD9,TRIM22,PIR,GPR155,PSPH,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,MMS19,HELZ2,PARP14,ARMC8,TOP3A,TUBB8,TXNIP,RNF213,LSM4	RNASEH2A,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,CMPK2,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,DYNC1LI1,UBE2L6,DTX3L,KIAA0101,GCN1L1,ISG20,STAT2,COG4,HMGCS1,MAP1S,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,PLSCR1,WARS,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,ISG15,DDX58,SAMD9,TRIM22,PIR,GPR155,PSPH,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,MMS19,HELZ2,PARP14,ARMC8,TOP3A,TUBB8,TXNIP,RNF213,LSM4	3.26e-06	0.0015	Cellular anatomical entity
COMPARTMENTS	GOCC:0043232	28	3196	9606	EIF2AK2,PTPN12,OASL,SAMHD1,XRN1,POLA2,DYNC1LI1,GCN1,ISG20,MAP1S,TACC3,SP100,PLSCR1,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,IFI16,IFIT5,DDX58,OAS1,KIFC1,MMS19,TOP3A,TUBB8,RNF213,LSM4	EIF2AK2,PTPN12,OASL,SAMHD1,XRN1,POLA2,DYNC1LI1,GCN1L1,ISG20,MAP1S,TACC3,SP100,PLSCR1,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,IFI16,IFIT5,DDX58,OAS1,KIFC1,MMS19,TOP3A,TUBB8,RNF213,LSM4	2.37e-05	0.0078	Intracellular non-membrane-bounded organelle
Process	GO:0009615	26	293	9606	OAS3,EIF2AK2,BST2,OASL,SAMHD1,DTX3L,ISG20,STAT2,MX2,OAS2,PLSCR1,PARP9,STAT1,IFI16,IFI44,IFI44L,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,MX1,OAS1	OAS3,EIF2AK2,BST2,OASL,SAMHD1,DTX3L,ISG20,STAT2,MX2,OAS2,PLSCR1,PARP9,STAT1,IFI16,IFI44,IFI44L,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,MX1,OAS1	1.74e-27	1.16e-23	Response to virus
Process	GO:0051607	24	210	9606	OAS3,EIF2AK2,BST2,OASL,SAMHD1,DTX3L,ISG20,STAT2,MX2,OAS2,PLSCR1,PARP9,STAT1,IFI16,IFI44L,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,OAS1	OAS3,EIF2AK2,BST2,OASL,SAMHD1,DTX3L,ISG20,STAT2,MX2,OAS2,PLSCR1,PARP9,STAT1,IFI16,IFI44L,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,OAS1	9.02e-28	1.16e-23	Defense response to virus
Process	GO:0060337	18	67	9606	OAS3,BST2,OASL,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,STAT1,IFIT1,IFIT3,IFIT2,HLA-E,ISG15,MX1,OAS1,IFI35	OAS3,BST2,OASL,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,STAT1,IFIT1,IFIT3,IFIT2,HLA-E,ISG15,MX1,OAS1,IFI35	7.18e-27	3.07e-23	Type i interferon signaling pathway
Process	GO:0045087	28	703	9606	OAS3,EIF2AK2,BST2,TRIM21,OASL,SAMHD1,DTX3L,ISG20,STAT2,MX2,OAS2,SP100,PARP9,STAT1,IFI16,IFIT5,IFIT1,IFIT3,IFIT2,HLA-E,ISG15,DDX58,TRIM22,LGALS9,MX1,OAS1,IFI35,PARP14	OAS3,EIF2AK2,BST2,TRIM21,OASL,SAMHD1,DTX3L,ISG20,STAT2,MX2,OAS2,SP100,PARP9,STAT1,IFI16,IFIT5,IFIT1,IFIT3,IFIT2,HLA-E,ISG15,DDX58,TRIM22,LGALS9,MX1,OAS1,IFI35,PARP14	1.21e-20	2.59e-17	Innate immune response
