category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:34937051	4	46	9606	KRT14,IFI44L,OAS1,IFI35	KRT14,IFI44L,OAS1,IFI35	2.62e-09	0.0073	(2022) Local and systemic responses to SARS-CoV-2 infection in children and adults.
PMID	PMID:34340660	4	44	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	2.21e-09	0.0073	(2021) Baseline pro-inflammatory gene expression in whole blood is related to adverse long-term outcomes after transcatheter aortic valve replacement: a case control study.
PMID	PMID:30993190	4	64	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	9.23e-09	0.0073	(2019) Differences in Gene Expression in Older Compared With Younger Kidney Transplant Recipients.
PMID	PMID:31376495	4	44	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	2.21e-09	0.0073	(2019) Positive mental well-being and immune transcriptional profiles in highly involved videogame players.
PMID	PMID:31763620	4	49	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	3.33e-09	0.0073	(2019) Molecular Correlates of Socioeconomic Status and Clinical Outcomes Following Hematopoietic Cell Transplantation for Leukemia.
PMID	PMID:29579369	4	68	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	1.16e-08	0.0073	(2018) Genomic mechanisms of fatigue in survivors of colorectal cancer.
PMID	PMID:29923288	4	43	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	2.03e-09	0.0073	(2018) Social genomics of healthy and disordered internet gaming.
PMID	PMID:29176033	4	43	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	2.03e-09	0.0073	(2017) TNFalpha-senescence initiates a STAT-dependent positive feedback loop, leading to a sustained interferon signature, DNA damage, and cytokine secretion.
PMID	PMID:26286914	4	52	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	4.17e-09	0.0073	(2016) Low Socioeconomic Status, Adverse Gene Expression Profiles, and Clinical Outcomes in Hematopoietic Stem Cell Transplant Recipients.
PMID	PMID:27337553	4	50	9606	PTGS2,IFI44L,OAS1,IFI35	PTGS2,IFI44L,OAS1,IFI35	3.59e-09	0.0073	(2016) Genome-Wide Profiling of RNA from Dried Blood Spots: Convergence with Bioinformatic Results Derived from Whole Venous Blood and Peripheral Blood Mononuclear Cells.
