category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005737	30	7871	9606	SLC15A3,OAS3,CMPK2,OASL,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,SAMD9,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14,RNF213	SLC15A3,OAS3,CMPK2,OASL,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,SAMD9,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14,RNF213	1.43e-07	0.00033	Cytoplasm
COMPARTMENTS	GOCC:0097072	3	6	9606	IFIH1,TLR3,DDX58	IFIH1,TLR3,DDX58	4.74e-07	0.00055	Interferon regulatory factor 3 complex
COMPARTMENTS	GOCC:0005829	18	2919	9606	OAS3,OASL,IFIH1,HERC6,DTX3L,MX2,GBP4,GBP1,IFIT1,IFIT3,ISG15,DDX58,SAMD9,LGALS9,MX1,OAS1,PARP14,RNF213	OAS3,OASL,IFIH1,HERC6,DTX3L,MX2,GBP4,GBP1,IFIT1,IFIT3,ISG15,DDX58,SAMD9,LGALS9,MX1,OAS1,PARP14,RNF213	8.21e-07	0.00063	Cytosol
COMPARTMENTS	GOCC:0005622	33	11202	9606	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,SAMD9,RSAD2,LGALS9,MX1,IFITM1,OAS1,HELZ2,PARP14,RNF213	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,SAMD9,RSAD2,LGALS9,MX1,IFITM1,OAS1,HELZ2,PARP14,RNF213	6.5e-06	0.003	Intracellular
COMPARTMENTS	GOCC:0042825	2	3	9606	TAP1,TAP2	TAP1,TAP2	3.27e-05	0.0126	TAP complex
COMPARTMENTS	GOCC:0043231	26	7476	9606	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TAP1,CTSS,GBP4,GBP1,IFIT3,IFIT2,TAP2,ISG15,RSAD2,LGALS9,MX1,IFITM1,HELZ2,RNF213	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TAP1,CTSS,GBP4,GBP1,IFIT3,IFIT2,TAP2,ISG15,RSAD2,LGALS9,MX1,IFITM1,HELZ2,RNF213	3.69e-05	0.0126	Intracellular membrane-bounded organelle
COMPARTMENTS	GOCC:0098844	2	5	9606	MX2,MX1	MX2,MX1	6.85e-05	0.0198	Postsynaptic endocytic zone membrane
COMPARTMENTS	GOCC:0044327	2	7	9606	MX2,MX1	MX2,MX1	0.00012	0.0301	Dendritic spine head
COMPARTMENTS	GOCC:0043227	27	8685	9606	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TAP1,CTSS,GBP4,GBP1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,HELZ2,RNF213	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TAP1,CTSS,GBP4,GBP1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,HELZ2,RNF213	0.00019	0.0412	Membrane-bounded organelle
COMPARTMENTS	GOCC:0043229	28	9242	9606	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TAP1,CTSS,GBP4,GBP1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,HELZ2,RNF213	SLC15A3,OAS3,CMPK2,OASL,SP110,SAMHD1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TAP1,CTSS,GBP4,GBP1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,HELZ2,RNF213	0.00018	0.0412	Intracellular organelle
