	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
10	Process	GO:0051607	20	210	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,MX1,IFITM1,OAS1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,MX1,IFITM1,OAS1	6.54e-30	8.41e-26	Defense response to virus	25.07520400420209	0.8405080027637805	21.07590963646625
11	Process	GO:0009615	21	293	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1	4.5400000000000004e-29	2.92e-25	Response to virus	24.534617148551582	0.7170489762135284	17.592522108159788
12	Process	GO:0060337	14	67	9606	OAS3,OASL,SAMHD1,ISG20,MX2,OAS2,IFIT1,IFIT3,IFIT2,ISG15,RSAD2,MX1,IFITM1,OAS1	OAS3,OASL,SAMHD1,ISG20,MX2,OAS2,IFIT1,IFIT3,IFIT2,ISG15,RSAD2,MX1,IFITM1,OAS1	4.57e-25	1.9600000000000003e-21	Type i interferon signaling pathway	20.707743928643524	1.1817505348111301	24.471387462406415
13	Process	GO:0045087	23	703	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,GBP4,GBP1,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,GBP4,GBP1,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	1.25e-24	2.9100000000000002e-21	Innate immune response	20.536107011014092	0.37646981283148745	7.731224362723872
14	Process	GO:0098542	24	900	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	7.92e-24	1.45e-20	Defense response to other organism	19.838631997765024	0.28766603410599967	5.70690058888545
15	Process	GO:0051707	26	1256	9606	OAS3,CMPK2,OASL,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,CMPK2,OASL,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	1.7e-23	2.73e-20	Response to other organism	19.563837352959244	0.1776810104033592	3.476122388240779
16	Process	GO:0044419	29	1899	9606	OAS3,CMPK2,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,CMPK2,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	2.1399999999999997e-23	2.75e-20	Interspecies interaction between organisms	19.560667306169737	0.045570334995657096	0.8913861618807524
17	Process	GO:0006955	27	1588	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	1.98e-22	2.12e-19	Immune response	18.67366413907125	0.09221056790162836	1.721909175068032
18	Process	GO:0006952	25	1296	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	1.2200000000000001e-21	1.21e-18	Defense response	17.91721462968355	0.14703230897118164	2.6344094373346074
19	Process	GO:0002376	28	2481	9606	OAS3,OASL,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	OAS3,OASL,SAMHD1,IFIH1,HERC6,DTX3L,TLR3,ISG20,MX2,OAS2,TRIM14,TAP1,CTSS,GBP4,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,RSAD2,LGALS9,MX1,IFITM1,OAS1,PARP14	9.37e-19	8.6e-16	Immune system process	15.065501548756432	-0.08577143109627136	-1.2921896280199316
20	Process	GO:0002252	21	969	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,CTSS,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,MX1,IFITM1,OAS1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,TLR3,ISG20,MX2,OAS2,CTSS,GBP1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,RSAD2,MX1,IFITM1,OAS1	1.3e-18	1.11e-15	Immune effector process	14.954677021213342	0.19759281951687246	2.9549367975857277
21	Process	GO:0045071	10	61	9606	OAS3,OASL,ISG20,OAS2,IFIT1,ISG15,RSAD2,MX1,IFITM1,OAS1	OAS3,OASL,ISG20,OAS2,IFIT1,ISG15,RSAD2,MX1,IFITM1,OAS1	4.73e-17	3.8e-14	Negative regulation of viral genome replication	13.42021640338319	1.0763674668229515	14.445084334325385
