category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005829	14	2919	9606	OAS3,OASL,IFIH1,HERC6,DTX3L,MX2,IFIT1,IFIT3,ISG15,DDX58,LGALS9,MX1,PARP14,RNF213	OAS3,OASL,IFIH1,HERC6,DTX3L,MX2,IFIT1,IFIT3,ISG15,DDX58,LGALS9,MX1,PARP14,RNF213	1.22e-06	0.0028	Cytosol
COMPARTMENTS	GOCC:0005737	20	7871	9606	SLC15A3,OAS3,OASL,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,TAP1,TDRD7,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14,RNF213	SLC15A3,OAS3,OASL,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,TAP1,TDRD7,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14,RNF213	1.93e-05	0.0223	Cytoplasm
COMPARTMENTS	GOCC:0005622	23	11202	9606	SLC15A3,OAS3,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,TAP1,TDRD7,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,HELZ2,PARP14,RNF213	SLC15A3,OAS3,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,TAP1,TDRD7,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,HELZ2,PARP14,RNF213	2.94e-05	0.0226	Intracellular
COMPARTMENTS	GOCC:0044327	2	7	9606	MX2,MX1	MX2,MX1	5.15e-05	0.0226	Dendritic spine head
COMPARTMENTS	GOCC:0097072	2	6	9606	IFIH1,DDX58	IFIH1,DDX58	4.01e-05	0.0226	Interferon regulatory factor 3 complex
COMPARTMENTS	GOCC:0098844	2	5	9606	MX2,MX1	MX2,MX1	3.01e-05	0.0226	Postsynaptic endocytic zone membrane
Process	GO:0009615	14	293	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1	6.83e-20	8.77e-16	Response to virus
Process	GO:0051607	13	210	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,MX1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,MX1	8.47e-20	8.77e-16	Defense response to virus
Process	GO:0060337	10	67	9606	OAS3,OASL,SAMHD1,MX2,OAS2,IFIT1,IFIT3,ISG15,RSAD2,MX1	OAS3,OASL,SAMHD1,MX2,OAS2,IFIT1,IFIT3,ISG15,RSAD2,MX1	9e-19	3.85e-15	Type i interferon signaling pathway
Process	GO:0045087	16	703	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	5.15e-18	1.1e-14	Innate immune response
