	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
6	Process	GO:0009615	14	293	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1	6.83e-20	8.77e-16	Response to virus	15.057000406633959	0.6092225487163735	9.173064163753013
7	Process	GO:0051607	13	210	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,MX1	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,IFIT1,IFIT3,ISG15,DDX58,RSAD2,MX1	8.47e-20	8.77e-16	Defense response to virus	15.057000406633959	0.7216861909651624	10.866429270824563
8	Process	GO:0060337	10	67	9606	OAS3,OASL,SAMHD1,MX2,OAS2,IFIT1,IFIT3,ISG15,RSAD2,MX1	OAS3,OASL,SAMHD1,MX2,OAS2,IFIT1,IFIT3,ISG15,RSAD2,MX1	9e-19	3.85e-15	Type i interferon signaling pathway	14.414539270491499	1.1038873306914185	15.912027278449488
9	Process	GO:0045087	16	703	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	5.15e-18	1.1e-14	Innate immune response	13.958607314841775	0.2871267910283457	4.007890125535312
10	Process	GO:0044419	19	1899	9606	OAS3,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,TAP1,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	OAS3,OASL,SP110,SAMHD1,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,TAP1,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	1.62e-15	2.13e-12	Interspecies interaction between organisms	11.671620396561263	-0.06980923039194363	-0.8147868373108537
11	Process	GO:0051707	17	1256	9606	OAS3,OASL,SAMHD1,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	OAS3,OASL,SAMHD1,IFIH1,HERC6,DTX3L,MX2,OAS2,TRIM14,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	1.33e-15	2.13e-12	Response to other organism	11.671620396561263	0.06142141536934153	0.716887444410468
12	Process	GO:0006952	17	1296	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,TAP1,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,TAP1,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	2.22e-15	2.38e-12	Defense response	11.623423042943488	0.047806053235944314	0.5556699807748582
13	Process	GO:0006955	17	1588	9606	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,TAP1,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	OAS3,OASL,SAMHD1,IFIH1,DTX3L,MX2,OAS2,TRIM14,TAP1,IFIT1,IFIT3,ISG15,DDX58,RSAD2,LGALS9,MX1,PARP14	6.19e-14	6.12e-11	Immune response	10.213248577854438	-0.0404394433205586	-0.41301808698292025
14	Process	GO:0048525	8	105	9606	OAS3,OASL,OAS2,TRIM14,IFIT1,ISG15,RSAD2,MX1	OAS3,OASL,OAS2,TRIM14,IFIT1,ISG15,RSAD2,MX1	6.49e-13	5.96e-10	Negative regulation of viral process	9.224753740259764	0.8118628213142505	7.489234597496477
15	Process	GO:0045071	7	61	9606	OAS3,OASL,OAS2,IFIT1,ISG15,RSAD2,MX1	OAS3,OASL,OAS2,IFIT1,ISG15,RSAD2,MX1	1.46e-12	1.25e-09	Negative regulation of viral genome replication	8.903089986991944	0.9897303383957348	8.811658265593215
