category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Process	GO:0051607	13	210	9606	BST2,IFIH1,HERC5,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	BST2,IFIH1,HERC5,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	1.77e-17	2.27e-13	Defense response to virus
Process	GO:0045087	16	703	9606	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	5.96e-15	1.86e-11	Innate immune response
Process	GO:0060337	9	67	9606	BST2,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	BST2,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	4.35e-15	1.86e-11	Type i interferon signaling pathway
Process	GO:0048525	9	105	9606	BST2,PML,ISG20,PARP10,TRIM14,IFIT1,ISG15,MX1,OAS1	BST2,PML,ISG20,PARP10,TRIM14,IFIT1,ISG15,MX1,OAS1	1.9e-13	2.85e-10	Negative regulation of viral process
Process	GO:0051707	18	1256	9606	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	1.55e-13	2.85e-10	Response to other organism
Process	GO:1903901	8	86	9606	BST2,PML,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	BST2,PML,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	2.6e-12	2.78e-09	Negative regulation of viral life cycle
Process	GO:0006952	17	1296	9606	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	4.16e-12	4.11e-09	Defense response
Process	GO:0045071	7	61	9606	BST2,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	BST2,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	1.75e-11	1.61e-08	Negative regulation of viral genome replication
Process	GO:0035455	5	23	9606	BST2,MX2,IFIT3,IFIT2,OAS1	BST2,MX2,IFIT3,IFIT2,OAS1	9.42e-10	6.05e-07	Response to interferon-alpha
Process	GO:0002376	18	2481	9606	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	1.15e-08	6.17e-06	Immune system process
Process	GO:0001818	8	280	9606	BST2,IFIH1,HERC5,PML,LGALS9B,ISG15,DDX58,IDO1	BST2,IFIH1,HERC5,PML,LGALS9B,ISG15,DDX58,IDO1	1.99e-08	1.02e-05	Negative regulation of cytokine production
Process	GO:0071345	12	1013	9606	BST2,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	BST2,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	5.02e-08	2.48e-05	Cellular response to cytokine stimulus
Process	GO:0019221	10	678	9606	BST2,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	BST2,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	1.19e-07	5.64e-05	Cytokine-mediated signaling pathway
Process	GO:0006950	19	3485	9606	BST2,GMPR,IFIH1,HERC5,PML,ISG20,PARP10,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,GMPR,IFIH1,HERC5,PML,ISG20,PARP10,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	3.7e-07	0.00016	Response to stress
Process	GO:0032480	4	45	9606	IFIH1,HERC5,ISG15,DDX58	IFIH1,HERC5,ISG15,DDX58	1.34e-06	0.00057	Negative regulation of type i interferon production
Process	GO:0035457	3	13	9606	IFIT3,IFIT2,OAS1	IFIT3,IFIT2,OAS1	2.4e-06	0.00099	Cellular response to interferon-alpha
Process	GO:0001817	9	742	9606	BST2,IFIH1,HERC5,PML,LGALS9B,GBP5,ISG15,DDX58,IDO1	BST2,IFIH1,HERC5,PML,LGALS9B,GBP5,ISG15,DDX58,IDO1	2.86e-06	0.0011	Regulation of cytokine production
Process	GO:0071360	3	17	9606	IFIH1,IFIT1,DDX58	IFIH1,IFIT1,DDX58	4.86e-06	0.0019	Cellular response to exogenous dsrna
Process	GO:0050688	4	81	9606	HERC5,PML,IFIT1,DDX58	HERC5,PML,IFIT1,DDX58	1.22e-05	0.0045	Regulation of defense response to virus
Process	GO:0071310	14	2369	9606	BST2,IFIH1,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	BST2,IFIH1,PML,ISG20,MX2,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	1.27e-05	0.0045	Cellular response to organic substance
Process	GO:0034341	5	182	9606	BST2,PML,GBP5,GBP4,OAS1	BST2,PML,GBP5,GBP4,OAS1	1.43e-05	0.005	Response to interferon-gamma
Process	GO:0034344	2	3	9606	IFIH1,DDX58	IFIH1,DDX58	2.74e-05	0.0093	Regulation of type iii interferon production
