	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
0	Process	GO:0051607	13	210	9606	BST2,IFIH1,HERC5,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	BST2,IFIH1,HERC5,PML,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	1.77e-17	2.27e-13	Defense response to virus	12.643974142806877	0.8597579428447448	10.870757198401787
1	Process	GO:0045087	16	703	9606	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1	5.96e-15	1.86e-11	Innate immune response	10.730487055782083	0.4251985429079282	4.562587460810926
2	Process	GO:0060337	9	67	9606	BST2,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	BST2,ISG20,MX2,IFIT1,IFIT3,IFIT2,ISG15,MX1,OAS1	4.35e-15	1.86e-11	Type i interferon signaling pathway	10.730487055782083	1.196201592010326	12.835825699172723
3	Process	GO:0048525	9	105	9606	BST2,PML,ISG20,PARP10,TRIM14,IFIT1,ISG15,MX1,OAS1	BST2,PML,ISG20,PARP10,TRIM14,IFIT1,ISG15,MX1,OAS1	1.9e-13	2.85e-10	Negative regulation of viral process	9.54515513999149	1.0010870956412141	9.555531636538888
4	Process	GO:0051707	18	1256	9606	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	1.55e-13	2.85e-10	Response to other organism	9.54515513999149	0.22431675097395615	2.1411381885452485
5	Process	GO:1903901	8	86	9606	BST2,PML,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	BST2,PML,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	2.6e-12	2.78e-09	Negative regulation of viral life cycle	8.555955204081924	1.0366254210202033	8.869320665661423
6	Process	GO:0006952	17	1296	9606	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	4.16e-12	4.11e-09	Defense response	8.386158178123932	0.18587780511552673	1.5588006755013009
7	Process	GO:0045071	7	61	9606	BST2,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	BST2,ISG20,PARP10,IFIT1,ISG15,MX1,OAS1	1.75e-11	1.61e-08	Negative regulation of viral genome replication	7.79317412396815	1.1278020902753172	8.789158066890794
8	Process	GO:0035455	5	23	9606	BST2,MX2,IFIT3,IFIT2,OAS1	BST2,MX2,IFIT3,IFIT2,OAS1	9.42e-10	6.05e-07	Response to interferon-alpha	6.218244625347531	1.4052760535902533	8.738350267367181
9	Process	GO:0002376	18	2481	9606	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	BST2,IFIH1,HERC6,HERC5,PML,ISG20,MX2,TRIM14,GBP5,GBP4,IFIT1,IFIT3,IFIT2,ISG15,DDX58,MX1,OAS1,IDO1	1.15e-08	6.17e-06	Immune system process	5.209714835966758	-0.07132037389707573	-0.3715588099982917
