category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0005737	45	7871	9606	OAS3,NMI,BST2,CMPK2,ATP4A,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,SAMD9,TRIM22,GOLM1,STT3A,LGALS9,TYMP,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,PARP14,RNF213,CIRBP,IFITM2	OAS3,NMI,BST2,CMPK2,ATP4A,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,SAMD9,TRIM22,GOLM1,STT3A,LGALS9,TYMP,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,PARP14,RNF213,CIRBP,IFITM2	3e-09	6.92e-06	Cytoplasm
COMPARTMENTS	GOCC:0005622	52	11202	9606	OAS3,NMI,BST2,PPAN,CMPK2,GMPR,ATP4A,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,UBA7,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,SAMD9,TRIM22,GOLM1,STT3A,LGALS9,TYMP,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,PARP14,RNF213,CIRBP,IFITM2	OAS3,NMI,BST2,PPAN,CMPK2,GMPR,ATP4A,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,UBA7,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,SAMD9,TRIM22,GOLM1,STT3A,LGALS9,TYMP,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,PARP14,RNF213,CIRBP,IFITM2	1.8e-08	2.08e-05	Intracellular
COMPARTMENTS	GOCC:0005829	23	2919	9606	OAS3,NMI,BST2,HERC6,DTX3L,NLRP6,STAT2,MX2,F3,ARHGAP18,IFIT1,IFIT3,PSMB9,ISG15,DDX58,SAMD9,LGALS9,IRF9,MX1,OAS1,IFI35,PARP14,RNF213	OAS3,NMI,BST2,HERC6,DTX3L,NLRP6,STAT2,MX2,F3,ARHGAP18,IFIT1,IFIT3,PSMB9,ISG15,DDX58,SAMD9,LGALS9,IRF9,MX1,OAS1,IFI35,PARP14,RNF213	2.99e-06	0.0023	Cytosol
COMPARTMENTS	GOCC:0043229	44	9242	9606	OAS3,NMI,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT3,IFIT2,ISG15,DDX58,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	OAS3,NMI,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT3,IFIT2,ISG15,DDX58,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	3.85e-06	0.0023	Intracellular organelle
COMPARTMENTS	GOCC:0110165	54	13853	9606	OAS3,NMI,APOL2,BST2,PPAN,CMPK2,SEMA7A,ATP4A,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,UBA7,MX2,F3,LIPA,PLAUR,TRPV2,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,SAMD9,TRIM22,GOLM1,STT3A,LGALS9,TYMP,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,PARP14,RNF213,CIRBP,IFITM2	OAS3,NMI,APOL2,BST2,PPAN,CMPK2,SEMA7A,ATP4A,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,UBA7,MX2,F3,LIPA,PLAUR,TRPV2,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,SAMD9,TRIM22,GOLM1,STT3A,LGALS9,TYMP,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,PARP14,RNF213,CIRBP,IFITM2	6.81e-06	0.0031	Cellular anatomical entity
COMPARTMENTS	GOCC:0043226	45	9848	9606	OAS3,NMI,APOL2,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT3,IFIT2,ISG15,DDX58,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	OAS3,NMI,APOL2,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,F3,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,ARHGAP18,CTSS,PMPCA,IFIT5,IFIT3,IFIT2,ISG15,DDX58,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	8.44e-06	0.0032	Organelle
COMPARTMENTS	GOCC:0043231	38	7476	9606	OAS3,NMI,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,LIPA,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,CTSS,PMPCA,IFIT3,IFIT2,ISG15,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	OAS3,NMI,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,LIPA,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,CTSS,PMPCA,IFIT3,IFIT2,ISG15,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	1.31e-05	0.0043	Intracellular membrane-bounded organelle
COMPARTMENTS	GOCC:0043227	41	8685	9606	OAS3,NMI,APOL2,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,CTSS,PMPCA,IFIT3,IFIT2,ISG15,DDX58,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	OAS3,NMI,APOL2,BST2,PPAN,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,STAT2,UBA7,MX2,LIPA,PLAUR,OAS2,SP100,WLS,ZC3HC1,EDC4,PARP9,CTSS,PMPCA,IFIT3,IFIT2,ISG15,DDX58,TRIM22,GOLM1,STT3A,LGALS9,HLA-A,IRF9,MX1,IFI35,TAPBP,HELZ2,RNF213,CIRBP,IFITM2	2.43e-05	0.007	Membrane-bounded organelle
COMPARTMENTS	GOCC:0098844	2	5	9606	MX2,MX1	MX2,MX1	0.00017	0.0443	Postsynaptic endocytic zone membrane
Process	GO:0060337	18	67	9606	OAS3,BST2,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,IFIT1,IFIT3,IFIT2,ISG15,HLA-A,IRF9,MX1,OAS1,IFI35,IFITM2	OAS3,BST2,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,IFIT1,IFIT3,IFIT2,ISG15,HLA-A,IRF9,MX1,OAS1,IFI35,IFITM2	1.14e-29	1.47e-25	Type i interferon signaling pathway
