	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
9	Process	GO:0060337	18	67	9606	OAS3,BST2,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,IFIT1,IFIT3,IFIT2,ISG15,HLA-A,IRF9,MX1,OAS1,IFI35,IFITM2	OAS3,BST2,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,IFIT1,IFIT3,IFIT2,ISG15,HLA-A,IRF9,MX1,OAS1,IFI35,IFITM2	1.1400000000000001e-29	1.47e-25	Type i interferon signaling pathway	24.832682665251824	1.3428378717277314	33.34626673949689
10	Process	GO:0051607	21	210	9606	OAS3,BST2,SAMHD1,PML,DTX3L,ISG20,STAT2,MX2,OAS2,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,IRF9,MX1,OAS1,IFITM2	OAS3,BST2,SAMHD1,PML,DTX3L,ISG20,STAT2,MX2,OAS2,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,IRF9,MX1,OAS1,IFITM2	1.79e-26	5.759999999999999e-23	Defense response to virus	22.239577516576787	0.9136401693252517	20.318971367967276
11	Process	GO:0009615	22	293	9606	OAS3,BST2,SAMHD1,PML,DTX3L,ISG20,STAT2,MX2,OAS2,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,IRF9,MX1,OAS1,IFITM2	OAS3,BST2,SAMHD1,PML,DTX3L,ISG20,STAT2,MX2,OAS2,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,IRF9,MX1,OAS1,IFITM2	3.35e-25	8.240000000000001e-22	Response to virus	21.084072788302883	0.7891952297933486	16.63944966914438
12	Process	GO:0045087	28	703	9606	OAS3,NMI,BST2,SAMHD1,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	OAS3,NMI,BST2,SAMHD1,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	3.21e-25	8.240000000000001e-22	Innate immune response	21.084072788302883	0.5138428756476471	10.833900591905858
13	Process	GO:0006952	32	1296	9606	OAS3,NMI,APOL2,BST2,SEMA7A,SAMHD1,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,F3,LIPA,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	OAS3,NMI,APOL2,BST2,SEMA7A,SAMHD1,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,F3,LIPA,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	5e-23	9.17e-20	Defense response	19.037630664329978	0.3061851461105832	5.829039726557193
14	Process	GO:0051707	30	1256	9606	OAS3,NMI,BST2,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	OAS3,NMI,BST2,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	5.65e-21	8.07e-18	Response to other organism	17.09312646527793	0.29177178464373693	4.987292013915233
15	Process	GO:0006955	32	1588	9606	OAS3,NMI,BST2,SEMA7A,SAMHD1,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,PLAUR,OAS2,SP100,PARP9,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,PARP14,IFITM2	OAS3,NMI,BST2,SEMA7A,SAMHD1,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,PLAUR,OAS2,SP100,PARP9,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,TAPBP,PARP14,IFITM2	2.1e-20	2.25e-17	Immune response	16.647817481888637	0.2179396495540803	3.628219507843101
16	Process	GO:0019221	23	678	9606	OAS3,NMI,BST2,SAMHD1,PML,ISG20,STAT2,MX2,F3,OAS2,SP100,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,TRIM22,HLA-A,IRF9,MX1,OAS1,IFI35,IFITM2	OAS3,NMI,BST2,SAMHD1,PML,ISG20,STAT2,MX2,F3,OAS2,SP100,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,TRIM22,HLA-A,IRF9,MX1,OAS1,IFI35,IFITM2	6.2e-19	6.13e-16	Cytokine-mediated signaling pathway	15.212539525481585	0.4441383114757813	6.756471618105975
17	Process	GO:0044419	31	1899	9606	OAS3,NMI,BST2,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	OAS3,NMI,BST2,CMPK2,SAMHD1,HERC6,PML,DTX3L,ISG20,NLRP6,STAT2,MX2,OAS2,SP100,PARP9,IFIT5,IFIT1,IFIT3,IFIT2,PSMB9,ISG15,DDX58,TRIM22,LGALS9,HLA-A,IRF9,MX1,OAS1,IFI35,PARP14,IFITM2	4.53e-17	4.16e-14	Interspecies interaction between organisms	13.380906669373257	0.12647689842250687	1.692375573623366
18	Process	GO:0002252	24	969	9606	OAS3,BST2,SAMHD1,PML,DTX3L,ISG20,STAT2,MX2,PLAUR,OAS2,PARP9,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,HLA-A,IRF9,MX1,OAS1,IFITM2	OAS3,BST2,SAMHD1,PML,DTX3L,ISG20,STAT2,MX2,PLAUR,OAS2,PARP9,CTSS,IFIT5,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,HLA-A,IRF9,MX1,OAS1,IFITM2	9.22e-17	7.9e-14	Immune effector process	13.102372908709558	0.30752763398609245	4.029341740218927
