	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
13	Process	GO:0060337	10	67	9606	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,HLA-A,MX1,HLA-B	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,HLA-A,MX1,HLA-B	1.12e-16	1.43e-12	Type i interferon signaling pathway	11.844663962534938	1.182699121606679	14.008673664216355
14	Process	GO:0051607	9	210	9606	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,MX1	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,MX1	1.67e-10	5.36e-07	Defense response to virus	6.27083521030723	0.6407971390129108	4.018333261986298
15	Process	GO:0002252	13	969	9606	OAS3,CD97,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B,LAMTOR3	OAS3,CD97,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B,LAMTOR3	9.12e-09	1.95e-05	Immune effector process	4.709965388637482	0.13639349956357658	0.6424086621795871
16	Process	GO:0045087	11	703	9606	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B	3.63e-08	6.66e-05	Innate immune response	4.176525770829699	0.20321128444590625	0.8487171664117318
17	Process	GO:0006955	14	1588	9606	OAS3,CD97,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,TAP2,DDX58,HLA-A,MX1,HLA-B,LAMTOR3	OAS3,CD97,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,TAP2,DDX58,HLA-A,MX1,HLA-B,LAMTOR3	3.81e-07	0.00054	Immune response	3.2676062401770314	-0.04594853810533428	-0.1501417298400024
18	Process	GO:0044419	15	1899	9606	OAS3,NECTIN2,SAMHD1,FBLN1,MX2,OAS2,IFIT1,IFIT3,IFIT2,RCC1,TAP2,DDX58,HLA-A,MX1,HLA-B	OAS3,PVRL2,SAMHD1,FBLN1,MX2,OAS2,IFIT1,IFIT3,IFIT2,RCC1,TAP2,DDX58,HLA-A,MX1,HLA-B	5.05e-07	0.00059	Interspecies interaction between organisms	3.2291479883578558	-0.09365978137383121	-0.3024412946133436
19	Process	GO:0071345	11	1013	9606	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,HLA-A,MX1,HLA-B,PNPT1	OAS3,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,HLA-A,MX1,HLA-B,PNPT1	1.35e-06	0.0014	Cellular response to cytokine stimulus	2.853871964321762	0.04455716410544971	0.12716044145022687
20	Process	GO:0019885	3	10	9606	TAP2,HLA-A,HLA-B	TAP2,HLA-A,HLA-B	1.61e-06	0.0016	Antigen processing and presentation of endogenous peptide antigen via mhc class i	2.795880017344075	1.4858951790271675	4.154384638909955
21	Process	GO:0048525	5	105	9606	OAS3,FBLN1,OAS2,IFIT1,MX1	OAS3,FBLN1,OAS2,IFIT1,MX1	1.67e-06	0.0016	Negative regulation of viral process	2.795880017344075	0.6865546295735859	1.9195243696398525
22	Process	GO:0006952	12	1296	9606	OAS3,CD97,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B	OAS3,CD97,SAMHD1,MX2,OAS2,IFIT1,IFIT3,IFIT2,DDX58,HLA-A,MX1,HLA-B	2.06e-06	0.0018	Defense response	2.744727494896694	-0.024649831179444526	-0.0676570693827832
