category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0043227	161	8685	9606	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,NDUFS7,CD97,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,RYDEN,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,ICAM1,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,SMARCA5,CD109,PDPR,VIRMA,ALCAM,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,RFTN1,NMES1,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,ANO6,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,GSDMD,NXF1,C1R,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,NDUFS7,CD97,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,C19orf66,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,ICAM1,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,SMARCA5,CD109,PDPR,KIAA1429,ALCAM,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,RFTN1,C15orf48,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,ANO6,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,GSDMD,NXF1,C1R,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	4.44e-22	1.03e-18	Membrane-bounded organelle
COMPARTMENTS	GOCC:0031967	43	788	9606	PGRMC1,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,LMNB1,NDUFS3,VDAC1,PML,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,NUP98,MRPS23,SLC25A22,NDUFV1,NMES1,AGK,AHCTF1,NDUFS2,CETN2,CPT2,MRPS16,APOOL,RCC1,UQCRQ,MPV17,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,PNPT1,GK,VRK2,TOMM40,EBP,VDAC3,NXF1	PGRMC1,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,LMNB1,NDUFS3,VDAC1,PML,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,NUP98,MRPS23,SLC25A22,NDUFV1,C15orf48,AGK,AHCTF1,NDUFS2,CETN2,CPT2,MRPS16,APOOL,RCC1,UQCRQ,MPV17,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,PNPT1,GK,VRK2,TOMM40,EBP,VDAC3,NXF1	2.28e-18	2.63e-15	Organelle envelope
COMPARTMENTS	GOCC:0043226	165	9848	9606	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,NDUFS7,CD97,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,RYDEN,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,ICAM1,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,SMARCA5,CD109,PDPR,VIRMA,ALCAM,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,RFTN1,NMES1,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,ATP1B1,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT5,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,ANO6,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,IDO1,GSDMD,NXF1,C1R,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,NDUFS7,CD97,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,C19orf66,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,ICAM1,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,SMARCA5,CD109,PDPR,KIAA1429,ALCAM,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,RFTN1,C15orf48,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,ATP1B1,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT5,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,ANO6,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,IDO1,GSDMD,NXF1,C1R,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	7.86e-18	4.54e-15	Organelle
COMPARTMENTS	GOCC:0005739	50	1149	9606	PGRMC1,SFXN3,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,CMPK2,MRPL53,NDUFS3,VDAC1,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,MRPS23,SLC25A22,NDUFV1,BCAT2,NMES1,AGK,MRPL21,DARS2,TGM2,NDUFS2,CPT2,IFIT3,MRPS16,APOOL,UQCRQ,MPV17,ECI2,MRPS6,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,PNPT1,GK,VRK2,LARS2,TOMM40,FAM162A,VDAC3,SOD2,SARS2,BCL2L13	PGRMC1,SFXN3,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,CMPK2,MRPL53,NDUFS3,VDAC1,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,MRPS23,SLC25A22,NDUFV1,BCAT2,C15orf48,AGK,MRPL21,DARS2,TGM2,NDUFS2,CPT2,IFIT3,MRPS16,APOOL,UQCRQ,MPV17,ECI2,MRPS6,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,PNPT1,GK,VRK2,LARS2,TOMM40,FAM162A,VDAC3,SOD2,SARS2,BCL2L13	2e-17	9.25e-15	Mitochondrion
COMPARTMENTS	GOCC:0005740	34	495	9606	PGRMC1,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,NDUFS3,VDAC1,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,SLC25A22,NDUFV1,NMES1,AGK,NDUFS2,CPT2,MRPS16,APOOL,UQCRQ,MPV17,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,PNPT1,GK,VRK2,TOMM40,VDAC3	PGRMC1,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,NDUFS3,VDAC1,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,SLC25A22,NDUFV1,C15orf48,AGK,NDUFS2,CPT2,MRPS16,APOOL,UQCRQ,MPV17,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,PNPT1,GK,VRK2,TOMM40,VDAC3	2.03e-17	9.25e-15	Mitochondrial envelope
COMPARTMENTS	GOCC:0031090	70	2219	9606	CD74,PGRMC1,CAV2,WFS1,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,BST2,SCO1,SYNJ2BP,ITGAV,LMNB1,IMPAD1,NDUFS3,VDAC1,PML,UQCRC2,NDUFB10,CERS2,MRPS5,EGFR,LAMTOR1,SLC25A4,CD109,NDUFS8,NUP98,CPNE1,CHMP6,RAP2B,MRPS23,SLC25A22,NDUFV1,NMES1,TAP1,AGK,AHCTF1,F5,NDUFS2,IFI16,GBP1,STX16,CPT2,MRPS16,APOOL,PEF1,RCC1,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,HLA-A,NLRX1,SLC25A12,NDUFS1,TAMM41,HLA-B,SLC25A13,GK,VRK2,ANO6,TOMM40,GOLIM4,LAMTOR3,VDAC3,RAB31	CD74,PGRMC1,CAV2,WFS1,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,BST2,SCO1,SYNJ2BP,ITGAV,LMNB1,IMPAD1,NDUFS3,VDAC1,PML,UQCRC2,NDUFB10,CERS2,MRPS5,EGFR,LAMTOR1,SLC25A4,CD109,NDUFS8,NUP98,CPNE1,CHMP6,RAP2B,MRPS23,SLC25A22,NDUFV1,C15orf48,TAP1,AGK,AHCTF1,F5,NDUFS2,IFI16,GBP1,STX16,CPT2,MRPS16,APOOL,PEF1,RCC1,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,HLA-A,NLRX1,SLC25A12,NDUFS1,TAMM41,HLA-B,SLC25A13,GK,VRK2,ANO6,TOMM40,GOLIM4,LAMTOR3,VDAC3,RAB31	2.75e-17	9.25e-15	Organelle membrane
COMPARTMENTS	GOCC:0031966	33	461	9606	PGRMC1,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,NDUFS3,VDAC1,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,SLC25A22,NDUFV1,NMES1,AGK,NDUFS2,CPT2,MRPS16,APOOL,UQCRQ,MPV17,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,GK,VRK2,TOMM40,VDAC3	PGRMC1,NDUFS7,MTX2,ESYT2,NDUFA2,SCO1,SYNJ2BP,NDUFS3,VDAC1,UQCRC2,NDUFB10,MRPS5,SLC25A4,NDUFS8,SLC25A22,NDUFV1,C15orf48,AGK,NDUFS2,CPT2,MRPS16,APOOL,UQCRQ,MPV17,NLRX1,SLC25A12,NDUFS1,TAMM41,SLC25A13,GK,VRK2,TOMM40,VDAC3	2.02e-17	9.25e-15	Mitochondrial membrane
COMPARTMENTS	GOCC:0043231	140	7476	9606	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,WFS1,PANX1,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,RYDEN,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NAT10,MRPL53,LMNB1,IMPAD1,ACIN1,SAMHD1,SNRNP40,NDUFS3,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,LAMTOR1,SLC25A4,NBAS,SMARCA5,PDPR,VIRMA,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,GCFC2,MRPS23,SLC25A22,NDUFV1,BCAT2,SMCHD1,IMP3,NMES1,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT3,IFIT2,MRPS16,APOOL,SRSF4,RCC1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,UQCRQ,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,GSDMD,NXF1,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,WFS1,PANX1,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,C19orf66,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NAT10,MRPL53,LMNB1,IMPAD1,ACIN1,SAMHD1,SNRNP40,NDUFS3,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,LAMTOR1,SLC25A4,NBAS,SMARCA5,PDPR,KIAA1429,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,GCFC2,MRPS23,SLC25A22,NDUFV1,BCAT2,SMCHD1,IMP3,C15orf48,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT3,IFIT2,MRPS16,APOOL,SRSF4,RCC1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,UQCRQ,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,GSDMD,NXF1,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	2.95e-17	9.25e-15	Intracellular membrane-bounded organelle
COMPARTMENTS	GOCC:0043229	157	9242	9606	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,WFS1,PANX1,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,RYDEN,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,SMARCA5,CD109,PDPR,VIRMA,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,RFTN1,NMES1,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT5,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,ANO6,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,IDO1,GSDMD,NXF1,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,WFS1,PANX1,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,BST2,PPAN,C19orf66,UTP3,SCO1,SYNJ2BP,CMPK2,PRPF38A,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,VDAC1,SMARCA2,PML,UQCRC2,NDUFB10,CERS2,MRPS5,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,SMARCA5,CD109,PDPR,KIAA1429,F2,NSUN5,ARL6IP4,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,RFTN1,C15orf48,OAS2,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,F5,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT5,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,PSMB8,TAP2,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,HLA-A,MRPS6,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,LARS2,ANO6,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,IDO1,GSDMD,NXF1,SOD2,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	1.32e-16	3.06e-14	Intracellular organelle
COMPARTMENTS	GOCC:0110165	195	13853	9606	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,GNB4,NDUFS7,CD97,BTN3A3,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,NECTIN2,BST2,PPAN,RYDEN,UTP3,SCO1,SYNJ2BP,KIDINS220,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,PLPP1,ICAM1,VDAC1,SMARCA2,PML,UQCRC2,CDH11,NDUFB10,CERS2,MRPS5,RALB,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,ITGA1,SMARCA5,CD109,PDPR,ITGA5,METAP1,ITGA2,VIRMA,ALCAM,F2,NSUN5,ARL6IP4,PPFIBP1,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,FBLN1,RFTN1,NMES1,TRPV2,OAS2,TRIM14,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,MPZL1,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,GUK1,XPR1,F5,ATP1B1,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT5,IFIT1,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,EPHB2,PSMB8,TAP2,COL15A1,ABI1,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,SLC33A1,TYMP,HLA-A,MRPS6,C1S,ADRA2C,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,SLC9A3R2,LARS2,ANO6,PLXNB2,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,ALG11,IDO1,GSDMD,NXF1,C1R,SOD2,LIN7A,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	CD74,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,GNB4,NDUFS7,CD97,BTN3A3,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,PVRL2,BST2,PPAN,C19orf66,UTP3,SCO1,SYNJ2BP,KIDINS220,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,PPAP2A,ICAM1,VDAC1,SMARCA2,PML,UQCRC2,CDH11,NDUFB10,CERS2,MRPS5,RALB,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,ITGA1,SMARCA5,CD109,PDPR,ITGA5,METAP1,ITGA2,KIAA1429,ALCAM,F2,NSUN5,ARL6IP4,PPFIBP1,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,FBLN1,RFTN1,C15orf48,TRPV2,OAS2,TRIM14,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,MPZL1,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,GUK1,XPR1,F5,ATP1B1,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT5,IFIT1,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,EPHB2,PSMB8,TAP2,COL15A1,ABI1,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,SLC33A1,TYMP,HLA-A,MRPS6,C1S,ADRA2C,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,SLC9A3R2,LARS2,ANO6,PLXNB2,TOMM40,ZC3H18,EBP,GOLIM4,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,ALG11,IDO1,GSDMD,NXF1,C1R,SOD2,LIN7A,ZBED6,RAB31,RNF213,SARS2,ABCB1,DDX52,BCL2L13,DDX27	1.51e-16	3.17e-14	Cellular anatomical entity
