	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
100	Process	GO:0006955	53	1588	9606	CD74,PGRMC1,GLA,VTN,CD97,BTN3A3,BST2,RYDEN,ITGAV,SAMHD1,ICAM1,PML,SERPING1,LAMTOR1,ALCAM,F2,STAT2,CPNE1,RAP2B,RFTN1,OAS2,TRIM14,TAP1,C6orf120,FAS,IFI16,S100A13,CTSS,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,PSMB8,TAP2,HLA-C,HLA-E,DDX58,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,ANO6,LAMTOR3,GSDMD,C1R,RAB31	CD74,PGRMC1,GLA,VTN,CD97,BTN3A3,BST2,C19orf66,ITGAV,SAMHD1,ICAM1,PML,SERPING1,LAMTOR1,ALCAM,F2,STAT2,CPNE1,RAP2B,RFTN1,OAS2,TRIM14,TAP1,C6orf120,FAS,IFI16,S100A13,CTSS,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,PSMB8,TAP2,HLA-C,HLA-E,DDX58,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,ANO6,LAMTOR3,GSDMD,C1R,RAB31	7.8e-14	1e-09	Immune response	9.0	-0.10649366399383021	-0.9584429759444719
101	Process	GO:0002252	40	969	9606	CD74,PGRMC1,GLA,CD97,BTN3A3,BST2,RYDEN,ITGAV,SAMHD1,ICAM1,PML,SERPING1,LAMTOR1,F2,STAT2,CPNE1,RAP2B,RFTN1,OAS2,C6orf120,IFI16,S100A13,CTSS,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,ABI1,HLA-C,DDX58,HLA-A,C1S,C4A,HLA-B,ANO6,LAMTOR3,GSDMD,C1R,RAB31	CD74,PGRMC1,GLA,CD97,BTN3A3,BST2,C19orf66,ITGAV,SAMHD1,ICAM1,PML,SERPING1,LAMTOR1,F2,STAT2,CPNE1,RAP2B,RFTN1,OAS2,C6orf120,IFI16,S100A13,CTSS,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,ABI1,HLA-C,DDX58,HLA-A,C1S,C4A,HLA-B,ANO6,LAMTOR3,GSDMD,C1R,RAB31	2.96e-13	1.9e-09	Immune effector process	8.721246399047171	-0.014182821226344788	-0.12369187854858926
102	Process	GO:0034340	14	72	9606	BST2,RYDEN,SAMHD1,STAT2,OAS2,GBP2,IFIT1,IFIT3,IFIT2,PSMB8,HLA-C,HLA-E,HLA-A,HLA-B	BST2,C19orf66,SAMHD1,STAT2,OAS2,GBP2,IFIT1,IFIT3,IFIT2,PSMB8,HLA-C,HLA-E,HLA-A,HLA-B	3.05e-13	1.9e-09	Response to type i interferon	8.721246399047171	0.6588765037434278	5.74622433568916
103	Process	GO:0009987	197	15024	9606	CD74,CA11,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,GOLT1B,GNB4,NDUFS7,SLC35D1,CD97,BTN3A3,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,NECTIN2,BST2,PPAN,UTP3,SCO1,SYNJ2BP,KIDINS220,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,PLPP1,ICAM1,VDAC1,SMARCA2,PML,EFL1,UQCRC2,CDH11,NDUFB10,CERS2,MRPS5,RALB,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,ITGA1,SMARCA5,CD109,ITGA5,RFT1,METAP1,ITGA2,VIRMA,SLFN5,ALCAM,F2,NSUN5,ARL6IP4,PPFIBP1,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,FBLN1,RFTN1,NUDT4B,NMES1,TRPV2,OAS2,TRIM14,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,MPZL1,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,GUK1,XPR1,F5,ATP1B1,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT1,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,EPHB2,PSMB8,TAP2,COL15A1,ABI1,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,SLC33A1,TYMP,HLA-A,MRPS6,SELENOM,ADRA2C,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,SLC9A3R2,LARS2,ANO6,PLXNB2,TOMM40,EBP,RPL7L1,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,ALG11,IDO1,GSDMD,NXF1,SOD2,LIN7A,RAB31,RNF213,SARS2,ABCB1,DDX52,PLCD3,BCL2L13,DDX27	CD74,CA11,PGRMC1,GLA,SF3A2,CAV2,SFXN3,VTN,WFS1,PANX1,GOLT1B,GNB4,NDUFS7,SLC35D1,CD97,BTN3A3,RRAS,MTX2,LMAN1,ESYT2,NDUFA2,PVRL2,BST2,PPAN,UTP3,SCO1,SYNJ2BP,KIDINS220,CMPK2,PRPF38A,NT5E,NAT10,MRPL53,ITGAV,LMNB1,IMPAD1,ACIN1,LGALS3BP,SAMHD1,SNRNP40,NDUFS3,PPAP2A,ICAM1,VDAC1,SMARCA2,PML,EFTUD1,UQCRC2,CDH11,NDUFB10,CERS2,MRPS5,RALB,PHIP,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,ITGA1,SMARCA5,CD109,ITGA5,RFT1,METAP1,ITGA2,KIAA1429,SLFN5,ALCAM,F2,NSUN5,ARL6IP4,PPFIBP1,PRPF3,STAT2,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,RAP2B,MRPS23,SLC25A22,HBA1,NDUFV1,BCAT2,SMCHD1,IMP3,FBLN1,RFTN1,NUDT4,C15orf48,TRPV2,OAS2,TRIM14,TAP1,C6orf120,AGK,FAS,CLCC1,CHD4,ERGIC3,MPZL1,BAZ1A,MRPL21,DARS2,TGM2,AHCTF1,GUK1,XPR1,F5,ATP1B1,NDUFS2,IFI16,RAB13,S100A13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,GBP4,GBP2,GBP1,STX16,CPT2,IFIT1,IFIT3,IFIT2,MRPS16,APOOL,STXBP1,PEF1,SRSF4,RCC1,LPAR1,BMS1,EPHB2,PSMB8,TAP2,COL15A1,ABI1,HLA-C,FLOT1,HLA-E,UQCRQ,DDX58,MPV17,ECI2,CD99,URB1,SLC33A1,TYMP,HLA-A,MRPS6,SELM,ADRA2C,NLRX1,SLC25A12,NDUFS1,C4A,TAMM41,CHID1,HLA-B,SLC25A13,PNPT1,GK,FAT1,VRK2,SLC9A3R2,LARS2,ANO6,PLXNB2,TOMM40,EBP,RPL7L1,FAM162A,CDS2,GC,H2AFY,LAMTOR3,VDAC3,ALG11,IDO1,GSDMD,NXF1,SOD2,LIN7A,RAB31,RNF213,SARS2,ABCB1,DDX52,PLCD3,BCL2L13,DDX27	2.39e-12	7.22e-09	Cellular process	8.141462802430361	-0.5122383842639846	-4.17036975146226
104	Process	GO:0060337	13	67	9606	BST2,SAMHD1,STAT2,OAS2,GBP2,IFIT1,IFIT3,IFIT2,PSMB8,HLA-C,HLA-E,HLA-A,HLA-B	BST2,SAMHD1,STAT2,OAS2,GBP2,IFIT1,IFIT3,IFIT2,PSMB8,HLA-C,HLA-E,HLA-A,HLA-B	2.25e-12	7.22e-09	Type i interferon signaling pathway	8.141462802430361	0.6579495141024685	5.356671494942377
105	Process	GO:0071840	108	5633	9606	CD74,SF3A2,CAV2,VTN,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,NECTIN2,PPAN,UTP3,SCO1,SYNJ2BP,KIDINS220,NAT10,MRPL53,ITGAV,ACIN1,SAMHD1,NDUFS3,ICAM1,SMARCA2,PML,EFL1,UQCRC2,CDH11,NDUFB10,MRPS5,PHIP,EGFR,LAMTOR1,SLC25A4,ITGA1,SMARCA5,ITGA5,RFT1,ITGA2,ALCAM,NSUN5,PPFIBP1,PRPF3,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,MRPS23,NDUFV1,SMCHD1,IMP3,FBLN1,RFTN1,TRPV2,TAP1,AGK,FAS,CHD4,BAZ1A,MRPL21,AHCTF1,F5,ATP1B1,NDUFS2,RAB13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,STX16,IFIT2,MRPS16,APOOL,STXBP1,PEF1,RCC1,LPAR1,BMS1,EPHB2,TAP2,COL15A1,ABI1,FLOT1,MPV17,ECI2,URB1,TYMP,MRPS6,NDUFS1,PNPT1,FAT1,SLC9A3R2,ANO6,PLXNB2,TOMM40,RPL7L1,CDS2,H2AFY,GSDMD,SOD2,LIN7A,RAB31,RNF213,ABCB1,DDX52,DDX27	CD74,SF3A2,CAV2,VTN,NDUFS7,MTX2,LMAN1,ESYT2,NDUFA2,PVRL2,PPAN,UTP3,SCO1,SYNJ2BP,KIDINS220,NAT10,MRPL53,ITGAV,ACIN1,SAMHD1,NDUFS3,ICAM1,SMARCA2,PML,EFTUD1,UQCRC2,CDH11,NDUFB10,MRPS5,PHIP,EGFR,LAMTOR1,SLC25A4,ITGA1,SMARCA5,ITGA5,RFT1,ITGA2,ALCAM,NSUN5,PPFIBP1,PRPF3,NDUFS8,NUP98,CPNE1,CHMP6,GCFC2,MRPS23,NDUFV1,SMCHD1,IMP3,FBLN1,RFTN1,TRPV2,TAP1,AGK,FAS,CHD4,BAZ1A,MRPL21,AHCTF1,F5,ATP1B1,NDUFS2,RAB13,CTSS,PDCD11,GNAI3,CETN2,TMED5,GBP5,STX16,IFIT2,MRPS16,APOOL,STXBP1,PEF1,RCC1,LPAR1,BMS1,EPHB2,TAP2,COL15A1,ABI1,FLOT1,MPV17,ECI2,URB1,TYMP,MRPS6,NDUFS1,PNPT1,FAT1,SLC9A3R2,ANO6,PLXNB2,TOMM40,RPL7L1,CDS2,H2AFY,GSDMD,SOD2,LIN7A,RAB31,RNF213,ABCB1,DDX52,DDX27	2.94e-12	7.22e-09	Cellular component organization or biogenesis	8.141462802430361	-0.34723503125194294	-2.8270010906384373
106	Process	GO:0051234	92	4479	9606	CD74,PGRMC1,GLA,CAV2,SFXN3,VTN,PANX1,GOLT1B,NDUFS7,SLC35D1,CD97,MTX2,LMAN1,ESYT2,NECTIN2,BST2,SCO1,SYNJ2BP,ITGAV,LGALS3BP,VDAC1,PML,UQCRC2,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,CD109,RFT1,ITGA2,F2,NUP98,CPNE1,CHMP6,RAP2B,SLC25A22,HBA1,RFTN1,NMES1,TRPV2,TAP1,C6orf120,AGK,CLCC1,ERGIC3,TGM2,AHCTF1,GUK1,XPR1,F5,ATP1B1,RAB13,S100A13,CTSS,GNAI3,CETN2,TMED5,STX16,CPT2,IFIT1,APOOL,STXBP1,PEF1,SRSF4,PSMB8,TAP2,ABI1,HLA-C,FLOT1,MPV17,ECI2,SLC33A1,SELENOM,SLC25A12,CHID1,HLA-B,SLC25A13,PNPT1,ANO6,TOMM40,EBP,GC,H2AFY,LAMTOR3,VDAC3,GSDMD,NXF1,LIN7A,RAB31,ABCB1,PLCD3	CD74,PGRMC1,GLA,CAV2,SFXN3,VTN,PANX1,GOLT1B,NDUFS7,SLC35D1,CD97,MTX2,LMAN1,ESYT2,PVRL2,BST2,SCO1,SYNJ2BP,ITGAV,LGALS3BP,VDAC1,PML,UQCRC2,EGFR,SERPING1,LAMTOR1,SLC25A4,NBAS,CD109,RFT1,ITGA2,F2,NUP98,CPNE1,CHMP6,RAP2B,SLC25A22,HBA1,RFTN1,C15orf48,TRPV2,TAP1,C6orf120,AGK,CLCC1,ERGIC3,TGM2,AHCTF1,GUK1,XPR1,F5,ATP1B1,RAB13,S100A13,CTSS,GNAI3,CETN2,TMED5,STX16,CPT2,IFIT1,APOOL,STXBP1,PEF1,SRSF4,PSMB8,TAP2,ABI1,HLA-C,FLOT1,MPV17,ECI2,SLC33A1,SELM,SLC25A12,CHID1,HLA-B,SLC25A13,PNPT1,ANO6,TOMM40,EBP,GC,H2AFY,LAMTOR3,VDAC3,GSDMD,NXF1,LIN7A,RAB31,ABCB1,PLCD3	1.19e-11	1.91e-08	Establishment of localization	7.718966632752273	-0.3173122706026744	-2.449322828944904
107	Process	GO:0045087	31	703	9606	BST2,RYDEN,SAMHD1,ICAM1,PML,SERPING1,STAT2,OAS2,TRIM14,IFI16,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,PSMB8,HLA-C,HLA-E,DDX58,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,GSDMD,C1R	BST2,C19orf66,SAMHD1,ICAM1,PML,SERPING1,STAT2,OAS2,TRIM14,IFI16,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,PSMB8,HLA-C,HLA-E,DDX58,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,GSDMD,C1R	4.08e-11	5.83e-08	Innate immune response	7.2343314452409855	0.014487333310906946	0.10480617092878132
108	Process	GO:0044419	53	1899	9606	CAV2,NECTIN2,BST2,RYDEN,CMPK2,ITGAV,SAMHD1,ICAM1,VDAC1,PML,EGFR,SERPING1,SLC25A4,ITGA5,ITGA2,F2,STAT2,NUP98,CHMP6,FBLN1,NMES1,OAS2,TRIM14,TAP1,XPR1,IFI16,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,RCC1,PSMB8,TAP2,ABI1,HLA-C,HLA-E,DDX58,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,VRK2,IDO1,GSDMD,NXF1,C1R	CAV2,PVRL2,BST2,C19orf66,CMPK2,ITGAV,SAMHD1,ICAM1,VDAC1,PML,EGFR,SERPING1,SLC25A4,ITGA5,ITGA2,F2,STAT2,NUP98,CHMP6,FBLN1,C15orf48,OAS2,TRIM14,TAP1,XPR1,IFI16,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,RCC1,PSMB8,TAP2,ABI1,HLA-C,HLA-E,DDX58,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,VRK2,IDO1,GSDMD,NXF1,C1R	6.44e-11	8.27e-08	Interspecies interaction between organisms	7.082494490447453	-0.1841681306397703	-1.30436977057218
109	Process	GO:0002376	62	2481	9606	CD74,PGRMC1,GLA,VTN,CD97,BTN3A3,RRAS,BST2,RYDEN,ITGAV,ACIN1,SAMHD1,ICAM1,PML,SERPING1,LAMTOR1,ITGA1,CD109,ITGA5,ALCAM,F2,STAT2,CPNE1,RAP2B,RFTN1,OAS2,TRIM14,TAP1,C6orf120,FAS,ATP1B1,IFI16,S100A13,CTSS,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,PSMB8,TAP2,ABI1,HLA-C,HLA-E,DDX58,CD99,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,ANO6,LAMTOR3,IDO1,GSDMD,C1R,RAB31	CD74,PGRMC1,GLA,VTN,CD97,BTN3A3,RRAS,BST2,C19orf66,ITGAV,ACIN1,SAMHD1,ICAM1,PML,SERPING1,LAMTOR1,ITGA1,CD109,ITGA5,ALCAM,F2,STAT2,CPNE1,RAP2B,RFTN1,OAS2,TRIM14,TAP1,C6orf120,FAS,ATP1B1,IFI16,S100A13,CTSS,GBP5,GBP4,GBP2,GBP1,IFIT5,IFIT1,IFIT3,IFIT2,STXBP1,PSMB8,TAP2,ABI1,HLA-C,HLA-E,DDX58,CD99,HLA-A,C1S,NLRX1,C4A,CHID1,HLA-B,ANO6,LAMTOR3,IDO1,GSDMD,C1R,RAB31	8.25e-11	9.64e-08	Immune system process	7.015922966097169	-0.23215411027749708	-1.6287753539697465
