,fold_change,-log10(fdr_BH),Gene
271,0.06751567820225493,10.240554726413594,EIF4E2
425,0.27142063113920556,5.471790942149932,UBR5
1216,0.059459156978268146,10.544891378523094,LIMS1
1344,0.17577007130776814,7.687151703635939,JAK3
1391,0.12164783958261037,8.878664636881926,PRKAA2
1690,0.054982591964892975,13.431188275547573,IFITM2
2173,0.07278932143852455,11.404959712210395,TPD52L1
2179,0.02756609608092891,11.219156570249911,HLA-C
2474,0.14692985465685782,8.278042644947185,DAAM2
2549,0.061271488482290776,10.054569162587384,YAF2
2704,0.05635641541227434,12.319958938452402,RNASEH2C
2728,0.09119984415198167,10.534235970682303,UBTD2
2786,0.08541334282340517,8.117749702727352,NDRG1
2789,0.07229980428476462,12.728812876566046,CNOT9
2993,0.09892869835948379,10.534235970682303,WDR92
3156,0.15277508255393832,10.166369128341962,TRIM56
3275,0.08652881104345318,9.40570489379372,FTO
3304,0.12678894584877648,9.710831373460085,ILKAP
3633,0.1890104722014412,7.630743232364693,FMN2
3929,0.07035031564299354,10.92051514270064,SH3GLB1
