,fold_change,-log10(fdr_BH),Gene
49,4.988933198448688,7.57545110492424,QSOX1
106,3.816017859446789,11.81878082203148,IFIT3
357,5.467467474166645,7.945035371823268,SERPINB7
481,10.584085355167328,8.956663013194197,DDX58
516,5.298163523131322,6.616160095327231,F2
567,2.5267713732904666,8.667680411436786,ISG15
672,3.396373766069237,11.667745374535148,IFIT1
844,5.900778179233684,8.417899448118542,TRIM21
856,36.4842961997984,12.078710504091369,MX1
857,22.212577226245834,12.078710504091369,MX2
961,7.949362693657789,8.011469545137423,PSMB8
962,9.190528147091527,9.449958870931985,PSMB9
975,2.338590772970681,5.24378442609686,LAP3
981,4.263389606454684,6.312006079753215,EPHB2
987,7.766549011688909,8.966600392092676,OAS2
1009,38.100115901577574,13.208818864889324,HLA-C
1038,2.6639966256670315,10.86141525257688,GBP1
1151,2.1128686436101027,10.544891378523094,STAT1
1352,4.133244082796728,7.746392067915724,STAT2
1609,2.208429653835142,6.533708244747428,HBA1
1629,10.917603684845448,10.361450528447268,IFI35
1689,2.375103995111082,10.341675262908588,IFITM3
1723,9.568516481634994,7.667539845696773,TAP1
1724,7.8672768727460465,9.560003856412754,TAP2
1769,3.0655211025245515,9.40750625555176,LGALS3BP
1821,12.581700574062053,15.764992509877352,MLLT11
1835,5.741989287722948,9.40750625555176,CALCOCO2
1854,11.192428291275174,11.268895262000388,NMI
1858,2.596859343517395,10.086669542840488,IFIT5
1873,5.047487361699547,8.348976610830908,OS9
2105,5.83584498992235,9.40570489379372,OASL
2153,2.662936184543521,10.544891378523094,IFI16
2197,2.669825993099919,7.89526632145426,PARP14
2219,4.41575833300131,6.182414936716819,PARP10
2225,6.042701018259071,9.231001637879316,SOWAHC
2255,6.370107697171686,7.830637940341579,SAMD9
2318,28.22491812273728,12.282403204838705,HIST2H2BC
2324,7.644554047451164,8.986845583900774,XAF1
2388,7.39636068492813,7.592631680532583,CRELD2
2440,4.124635731952631,8.040107451402195,GPR155
2450,6.395472577740355,11.268895262000388,LIMS2
2701,9.275778058750234,10.051370361083606,DTX3L
2746,6.060407612416929,10.166369128341962,DNAJA4
2765,3.1977490891544718,7.6044533206483855,BBX
2827,5.31742255327637,8.428049344653827,IRF7
2989,8.26914360398806,7.617072018334248,NSMCE2
3257,4.270012082307377,8.281235557099777,HELZ2
3261,4.030409686790801,4.449318889705784,IFIH1
3404,8.81800280497582,11.101404554677002,SP140L
3405,6.292137270463997,7.966703083669394,SLC25A22
3428,13.434112948911036,10.534235970682303,SP110
3574,4.378163333342646,6.396326488498507,ANO10
3644,14.056565901935715,13.217495563034124,EHD3
3772,4.669670779437995,7.115384269323614,HERC5
4040,11.624208531518555,9.791751897208076,OAS3
