,fold_change,-log10(fdr_BH),Gene
7,0.07482126520408344,12.546900216759978,RAB19
75,0.09149042894320043,11.643562371505224,CDIPT
212,0.14912244606182742,10.008682816588736,CHST1
234,0.12201789101411306,11.087554992781524,TSPAN3
468,0.07770274498515113,16.476249440597208,MT-ND6
900,0.4947892169602688,4.234230556737899,CCN2
1013,0.17657980529918696,7.409853024024355,TGFBR1
1128,0.04900950145390381,15.48742624179066,KRT6C
1233,0.17937196238238876,7.981234126286148,RBM5
2239,0.17549585212732202,8.833564215772135,GALNT4
2742,0.21008459656194287,6.481405258045456,EDEM3
3179,0.2727382869641829,10.450114366102916,PHF8
