,fold_change,-log10(fdr_BH),Gene
26,19.416086762428137,13.385703101351115,LGALS9
57,9.98297308389195,11.213989959857413,PIR
86,23.824638707240872,13.875297269443871,IFIT3
92,9.763739013717554,11.804137527481812,UBE2L6
116,9.073983507555296,10.09788871802389,PLSCR1
310,4.024043827505516,8.742177283953907,WDHD1
314,6.96760666641604,15.40929393782792,RNASEH2A
413,11.382322269368373,12.252261389070386,DDX58
435,11.409687427901115,12.107689051874072,DHFR
441,8.842050923300492,11.38511369812094,PNP
450,21.185191434134328,11.971151448591618,OAS1
499,4.40231648460677,16.869510477284862,ISG15
602,12.475557554394737,9.198307976334288,IFIT2
603,29.593651175884812,13.016337076319966,IFIT1
679,19.586980709062285,11.315218497479425,HLA-E
770,5.447317529844509,6.886123304459509,TRIM21
771,2.313429779411569,4.927448328500735,EIF2AK2
780,34.05302412856884,13.66214838732271,MX1
781,26.939186705505314,13.815935621935852,MX2
825,2.752031753106277,8.139772175473304,WARS
828,4.33147880447435,11.14580372477345,SP100
854,8.862893791078259,9.563661309230854,CTSS
907,17.503334880050197,13.875297269443871,OAS2
1059,3.887614349460146,11.804137527481812,STAT1
1155,5.292153500530798,8.62977900102371,PPM1F
1230,4.38304128141007,5.107092131090341,STAT2
1266,2.0130056927009656,3.831455192276129,YARS
1327,16.339403876676243,10.691899223285978,PFN3
1471,10.783738931434854,10.75890635819014,PSPH
1482,10.352471107231542,11.818402431257145,IFI35
1532,5.428591466764275,8.15585201164976,HMGCS1
1575,11.46776839225162,10.529476062159423,PTPN12
1613,5.971089752537397,7.891492409452854,TMEM62
1619,16.570616295235098,15.48742624179066,BST2
1679,7.760091379153571,9.652063336510077,IFIT5
1683,13.963335628238639,9.757207888185166,UBE2V1
1698,4.2168172806865,7.507260449966166,TOP3A
1756,5.785720797169596,9.548075936230164,POLA2
1808,18.55366350897826,11.94702027975299,PCLAF
1866,7.788698865837934,10.98232077432306,SEC23B
1874,9.888894539152247,10.61687805639853,OASL
1913,2.300854444184674,5.414028246342017,IFI16
1942,23.74174122595635,11.548017007004333,TUBB8
1944,2.8155106975907045,8.2821889844315,PARP14
1957,8.962553478740599,9.510485081445731,IFI44L
1975,9.7498620656345,9.749811312405926,CMPK2
1984,5.078621605633269,6.18358695011529,SAMD9
2012,7.973747815454593,15.287010663751058,RNF213
2014,3.5252657564350565,5.62886915541078,MAP1S
2117,6.463497115368521,10.060654033242976,GPR155
2143,4.681644225157119,9.312779406811655,SETD3
2173,4.741570598203358,8.2821889844315,ARMC8
2179,4.608147748818119,6.558219443493882,HERC6
2199,5.8793616796648545,10.078858495227973,PARP9
2203,5.021615258566025,9.039989292614951,SLC15A3
2210,2.2902875582755677,5.697585242756022,TRIM22
2215,2.5751683633329177,4.720802008274124,XRN1
2319,10.909204883731514,9.264278800558044,IFI44
2329,9.693476740958957,11.067112376977724,DTX3L
2392,2.1439425579393387,4.696500287676584,GCN1
2432,8.841754920325037,11.982680824413828,TCEAL3
2458,10.062823538406574,15.287010663751058,ISG20
2580,4.012412026518175,7.410035098505147,MMS19
2667,3.589176453005689,8.28123273496738,TBCD
2696,2.165597169969705,6.046293177454513,KIFC1
2730,5.756991260956508,10.062256181539986,HELZ2
2794,6.128287279801885,11.532008165987069,TXNIP
2840,5.204919295517184,10.03633351315178,COG4
2849,3.2348469155367803,5.690776387662671,XPO5
2853,4.9501337750339225,9.047518017741162,SP110
2878,13.545752385736217,12.482832032883852,DYNLRB1
2887,5.403740332839244,9.652063336510077,RIC8A
3017,2.2376718022355653,5.511459617494584,OGFR
3260,3.4730983264005357,7.121879529809449,SAMHD1
3274,10.270826322679621,10.66871333980464,LSM4
3311,4.380001831246338,7.207495273032844,TACC3
3318,5.533461502972396,8.790529606603508,DYNC1LI1
3323,11.064473462092204,11.65855269254416,OAS3
