,fold_change,-log10(fdr_BH),Gene
56,0.48067286394849745,5.140811058679463,AGRN
100,5.790108259640136,22.750394964430814,TSPAN4
193,3.983020554551255,14.38464320136396,THAP12
505,10.806644010108581,22.511338888669396,OAS1
521,8.25177673275321,24.209139523035805,KRT14
1106,7.260867428450863,18.844816811291405,PTGS2
1650,2.0338262897504835,8.880432780121764,IFI35
2206,2.1712826411342125,13.091373936198533,IFI44L
2620,5.477622543865366,16.234619595560314,SRFBP1
2996,0.0924855390572437,24.306392755080005,HIST1H4G
