,fold_change,-log10(fdr_BH),Gene
29,8.029704556881786,16.71143495927402,LGALS9
107,4.523091181999837,18.834515004573092,IFIT3
167,4.584903660462846,14.805912770750677,TLR3
449,12.08786827530847,22.81690162289173,DDX58
489,9.44156053011863,17.207781781191887,OAS1
531,0.121452413272535,20.388066578320394,TK1
551,2.7874749462643313,14.320229052190635,ISG15
658,3.117489367872351,18.834515004573092,IFIT2
659,4.547306564362154,22.93193173990784,IFIT1
728,2.1325832914096448,13.25592267061417,IFITM1
860,4.472255394054242,23.220472259606737,MX1
861,4.477254587232068,19.243493819604893,MX2
876,0.31727689134696097,8.669215465573698,NF1
942,6.641898384699572,13.67376388740654,CTSS
996,0.11700852538621179,20.2614724988527,MPG
1001,9.825056300382373,22.34550709382691,OAS2
1056,2.2910661237985352,9.778984616613286,GBP1
1719,2.306561249550715,7.233274848870285,TAP1
1720,2.3091192364937396,8.344319487837002,TAP2
1933,5.240039392017213,15.554353389719266,TRIM14
2074,10.358198002630402,19.532942519867117,OASL
2164,3.142715446244948,15.450814603450784,PARP14
2183,5.272940898548305,14.571730639235728,IFI44L
2203,9.152708493256727,18.833067530626348,CMPK2
2218,2.063958709844178,9.276660241501542,SAMD9
2254,3.489913642914744,9.074316714188184,RNF213
2436,6.829666369708323,17.237621916413,HERC6
2461,3.808845943251797,11.581545806072477,SLC15A3
2472,4.115876977447538,13.198569965268232,PHACTR4
2603,2.290738260023618,11.69762591398676,DTX3L
2656,14.478573702807312,20.102144239296862,RSAD2
2759,9.275196118523413,17.898128157493982,ISG20
2877,5.549569661935239,14.157002476473355,GBP4
3101,4.904825512998889,10.483696631801928,HELZ2
3103,4.1427659437415265,10.320767807254276,IFIH1
3153,4.739571306555674,16.6630660957324,PARP12
3267,5.242876945573441,12.843919236031144,SP110
3751,3.0278861912311736,10.461608437267646,SAMHD1
3822,2.6816586085751837,18.440623170786782,OAS3
