,fold_change,-log10(fdr_BH),Gene
30,7.143260307898847,19.602008883119822,LGALS9
110,3.653618667390034,15.50915472549682,IFIT3
456,8.558644519527467,14.501018037365922,DDX58
558,2.7078808155809893,14.093018011610171,ISG15
665,3.4565258707868014,15.992277132337856,IFIT1
861,4.0194485257755534,22.53166569616647,MX1
862,4.007056982340871,22.53166569616647,MX2
1001,7.3738322011327115,18.33166688189231,OAS2
1722,2.01244333946602,5.631556751236279,TAP1
1940,5.1060444315792335,14.001391688876252,TRIM14
2080,8.458311481891691,18.33166688189231,OASL
2170,2.848456337617513,13.286185821736886,PARP14
2261,2.5741301515040584,4.273954804044203,RNF213
2449,5.104630198892204,14.289226470926971,HERC6
2475,4.156220372642306,14.632062109773631,SLC15A3
2589,3.6590809389334504,14.177993152155736,TDRD7
2614,2.0054810979530573,5.139246157961724,DTX3L
2664,7.580717473552392,21.04959014220477,RSAD2
3107,4.578463525685242,11.044466029872869,HELZ2
3109,4.057995377463855,11.823006075441263,IFIH1
3161,4.974059478844091,17.218666265261383,PARP12
3273,7.956473159472244,18.4117212216112,SP110
3343,0.0805473090108006,22.502149433598703,CMC2
3764,2.925432226549869,10.140201661771432,SAMHD1
3835,2.4886953654308437,14.8468214314234,OAS3
