,fold_change,-log10(fdr_BH),Gene
67,0.09949485055580364,8.49946361385488,UBE2C
93,2.6033246249869264,4.412755684220039,IFIT3
280,0.2963746056340817,5.744278347552033,HMMR
375,0.21275905748072427,4.922942606814518,KIF20A
415,2.713851127408539,3.08533115913961,DDX58
450,6.505258499317064,5.93007686856037,OAS1
505,2.078251993448426,4.268879123820452,ISG15
542,8.06351460288143,9.73291671999958,H1F0
612,3.7666438775652753,7.527001889062251,IFIT2
613,2.507942855113978,6.548809643177979,IFIT1
708,0.139542031868537,5.593038671853903,CCNB1
713,10.465518477310852,6.223275323342082,IDO1
795,2.246507312162988,9.813355355858528,MX1
796,2.7279633393132237,8.180167951747361,MX2
799,7.174701853724926,8.362306375980994,ATP4A
919,11.595471711278993,9.023028869935647,PML
1042,2.3014338919762944,5.232750161344263,GMPR
1192,18.478656804648814,9.73291671999958,CCT3
1199,0.4517186884208343,2.437074427028765,CENPF
1279,2.9945904814443622,4.297387646469229,AFF2
1303,0.10691476617700049,8.49946361385488,AKR1C2
1307,0.2270812486735875,5.506319222436494,NUP98
1324,0.32086462668849386,3.415216934920691,SMTN
1457,0.043485174837685214,8.74297911391197,PPP1CA
1716,15.165404197422644,9.140445282583812,BST2
1847,6.516204096217948,9.052363458549776,TRIM14
1916,0.13482020390386115,6.1628791396862335,WTAP
2053,10.294527019210078,9.238269492532222,LGALS9B
2056,3.97034463767516,3.046949167395352,USP41
2065,0.2033776822597468,8.6283865605907,NADK2
2076,3.577952286324315,3.08533115913961,PARP10
2103,2.244004668727284,3.028161524080748,SAMD9
2118,0.19524211536039707,6.164608508960408,MRPL2
2139,3.110325568153781,4.84127420648682,RNF213
2212,0.41483383705214405,4.166932312751112,VPS13C
2229,0.25654292155437425,4.870270944306436,RSRC2
2313,6.494803005310003,6.764485687308164,HERC6
2342,3.7590896580324027,5.667105906496266,PHACTR4
2410,0.331842406821033,7.603485348611838,SHCBP1
2426,3.2817883197131037,5.06252643385599,TDRD7
2461,0.20830210425677628,5.870079795291502,CEMIP
2464,5.424101025393571,5.230046343424839,UBTD2
2474,4.325823805684187,4.735770444615849,SLC44A1
2576,13.674487718580279,9.354714436676666,ISG20
2674,11.587019681568734,7.851469454615568,GBP5
2675,7.405613853540857,5.667105906496266,GBP4
2837,0.21341747696418825,4.7650101288041,NUSAP1
2844,0.1933409238986272,5.56652510228139,MRPL32
2851,2.095124879204054,6.239202186165969,HELZ2
2855,6.933451070804939,6.304991425841027,IFIH1
3024,0.457682490666693,3.1050876883920653,ANLN
3049,0.29443369247629575,4.268879123820452,HELLS
3105,0.18910785976867994,7.666229042223707,MARCH5
3138,0.22431231100281115,9.354714436676666,NOP53
3244,3.31216460446339,3.716297292094542,HERC5
3282,0.22653927104107752,5.644647940062602,TPX2
3290,0.34263671142641317,5.675761857861692,PCDHGC3
3395,0.37628753041983243,4.837575051703806,TCAF1
