,fold_change,-log10(fdr_BH),Gene
123,0.08721296858613425,7.402314561919498,BET1
254,0.16676688025037337,6.85294848777168,TBL1X
378,0.08469023839513543,6.84688945892262,PGM3
591,0.0396541323311526,8.585370913870594,POTEJ
654,0.11087000047711815,5.99815150020204,KRT10
1559,0.11270334678607918,5.797684081961589,UBXN1
1747,0.3744122326706398,4.503075171950774,SCRIB
1767,0.14520050455421382,6.211571714903597,GALE
2107,0.15625290808476033,7.489395089596017,GRASP
2371,0.16707510815001755,5.99815150020204,UTP4
2390,0.16472388119814255,7.650433982738356,RNF25
2426,0.16401439334347956,6.330897692931117,MVB12A
2603,0.1157357258935323,6.578681365576843,TMEM147
3039,0.2618836102593423,6.211571714903597,DOLK
