,fold_change,-log10(fdr_BH),Gene
97,12.990789809783603,7.177656365725382,IFIT3
102,8.399104338936846,7.359031130964637,LIN7A
105,13.032458830722778,5.80379141225925,UBE2L6
152,3.4619683471045177,4.239395116905104,IPO8
158,3.7567350275944635,4.388956299313525,CAPN5
263,10.792121469490253,7.439203983310247,MRPS14
392,3.9502927931092273,6.394688559806295,RTN3
403,7.568810791051188,7.6803590211897825,NDUFA10
434,8.607381650363925,8.185569716495587,DDX58
468,5.801840487805895,4.711569097316122,OAS1
501,10.03795723873365,6.805273001176394,TYMS
516,2.8210868543587595,4.687031207541468,ISG15
541,49.231876877636985,8.185569716495587,TPM3
623,5.3678466757358985,4.710001981191252,IFIT2
624,12.699921838718288,6.21359077599908,IFIT1
743,21.59753926232139,8.04250278395528,YBX3
751,4.5476545206305605,2.321182626842418,ITGA2
802,25.64665561785407,8.185569716495587,MX1
803,19.629256606677693,8.102226226035791,MX2
931,7.264696394981509,6.434348717590317,OAS2
1015,4.315688974534488,3.407044272857679,PTGS2
1096,2.5863099095676163,5.64234603537532,STAT1
1149,7.284624826954191,7.366454722907521,STT3A
1275,23.39875641907825,7.133628928066876,HNRNPM
1280,9.56760400780581,6.366536674024075,RAP1GDS1
1377,3.4256573492166322,4.529169070749612,NLRP6
1399,22.640765035487096,7.277459077087137,DSTN
1550,12.917475154665263,6.522055641660611,EIF4G2
1563,7.848311577605204,6.330880244620072,IFI35
1620,11.564540306851367,7.496322539409424,IFITM3
1647,2.0355864925850002,4.990438991047979,TAP1
1648,7.5859595005194995,6.880890307767505,TAP2
1718,15.856269248582816,6.704959777749482,ASPH
1771,8.711324557807902,7.425790228726657,NMI
1772,5.02263693428935,4.117390222498456,PTK7
2010,6.1685619966489025,6.522055641660611,IGFBP7
2053,2.483796435570938,2.4139171461386724,ATG2A
2064,6.891417385900807,7.277459077087137,PARP14
2077,10.663829802806362,8.04250278395528,IFI44L
2107,2.453336096160176,5.887848861267044,SAMD9
2306,3.018653720646092,3.561344606571561,SAMD9L
2316,6.458911973347673,4.926136918373527,PHF6
2329,3.7417645670017285,4.032848964682106,PARP9
2338,5.5364692657191625,5.2219079073628025,TRIM22
2363,3.6898723792312023,3.5335105386979344,SYNPO
2438,6.634907840351686,4.781037540140761,UBA3
2443,16.002319508173862,8.185569716495587,IFI44
2483,6.371268759564422,5.601816591597898,PALLD
2639,3.706082277588151,2.3991192688241583,SLC41A3
2751,5.829480630107739,5.2455489124517,NAPG
2787,4.002968216667308,4.4255014329892,AIFM2
2874,4.026958182598754,2.4890066064034952,HELZ2
2927,5.982224137847197,6.354500803260662,SIL1
3014,5.663034774010944,5.377477221059465,SP110
3109,5.2418622967887645,6.100413319830516,RYDEN
3176,2.095586781852161,3.81067700766817,ERAP1
3281,4.52913923736231,6.61092044897619,DPP7
3452,14.987264473466293,8.185569716495587,SAMHD1
3523,10.347085683915928,8.185569716495587,OAS3
3528,8.536702720883273,3.247733246447382,SQOR
