,fold_change,-log10(fdr_BH),Gene
79,0.20612697741429253,7.089493955518674,STX16
80,0.22817689293061655,5.505362124746664,ADAM10
167,0.38477028342389014,3.3840263393067995,PPIP5K2
193,0.11763827985574249,6.922276840524713,GSTZ1
346,0.2231791675777814,6.2522506917896905,UBXN7
360,0.18295435860478565,4.109131050329908,ZFPL1
472,0.4116242038988932,3.3375553385455663,APOB
609,0.37884441613724884,4.915810357590014,C4A
665,0.2776230013873538,5.294727069522562,BCKDHA
835,0.12931517842184484,7.321450460372373,ME2
913,0.12438138735215201,6.056428332690927,CTGF
965,0.19421002061679865,5.281102968124329,SLC6A6
980,0.11360545487797595,8.61743058520057,DCTD
1057,0.2687766032372334,5.635216495609526,COIL
1087,0.1969429175752314,7.020728171536109,WNT5A
1178,0.1819224125893713,8.402213384469196,CAMLG
1195,0.12200692893976242,7.801722048060267,PPM1F
1480,0.07911077138121586,10.267932268489949,POLR2L
1555,0.26332194569987594,5.491475970929475,COG7
1643,0.35851766552836356,4.867158564641079,ITIH3
1696,0.1767403433696117,6.806621792061581,EFEMP1
1935,0.12872850558552298,7.801722048060267,TOMM20
1956,0.11505191222206236,6.401467191510451,SF1
2014,0.3004151755028776,6.908831389233559,DDR2
2344,0.19675411021603473,5.974142214749032,ASCC1
2372,0.07925127322664292,8.826188255755062,ABCF1
2395,0.07258052736341569,9.089055399589387,TMEM167A
2400,0.1673278392491061,5.344024040122606,CD99L2
2480,0.17702417987334862,6.922276840524713,PIGK
2695,0.11224107127972914,6.756978178901835,C12orf57
2853,0.3462861819883591,4.982054317773509,CCDC8
2906,0.49127887483682847,3.998139024308781,NT5DC2
3048,0.15381186854284384,7.514776245752944,TOR4A
3124,0.24155433245207683,3.575872932118296,TNFRSF10D
3263,0.029995377918721564,10.57792407347911,CFL2
3363,0.1351398013548512,7.600916286384712,TRAPPC1
