,fold_change,-log10(fdr_BH),Gene
35,5.61398058475332,7.697708666358832,GOLIM4
62,3.5991145208051245,6.409339096001016,IFIT3
138,3.6628690207512924,3.4009864282199422,SPAG9
172,3.1372735587792873,3.720698511068206,CLUH
191,11.13675958037376,7.704282625256864,CLDN11
255,4.1706144882162866,4.811994634076714,DDX58
282,2.037067182253879,5.447816708378134,HLA-B
377,16.553975914298032,9.205043272718356,GNAI3
401,10.627327418378899,7.006919174903618,IFIT2
402,3.827562774263908,8.051860855182756,IFIT1
538,6.211872992994991,6.574653415386871,RCC1
552,13.480855328471533,8.13529216300163,RAB4A
555,2.2300605367990523,6.921011461648942,MX1
556,15.800839475470701,9.205043272718356,MX2
594,5.349168079666705,5.770586786224701,FBLN1
670,9.781949063842502,6.856379393085513,OAS2
687,30.19559351269634,8.326172832292794,HLA-A
759,7.243920990213918,7.440000903735922,GMPR
791,10.05499202424209,7.366595989666896,CETN2
863,7.918668670975738,7.8961896155622995,CD97
1206,2.3105431752956007,5.114429399869685,TAP2
1337,8.854245440975319,9.205043272718356,IDI1
1408,9.750935094050748,9.047683003244364,EBP
1532,2.362859473642258,2.9097170885767945,RNF213
1557,5.364911997107622,4.569447570074372,DARS2
1600,3.986377416710923,3.4009864282199422,ZC3H18
1630,6.381007108985755,6.453725756986787,SPART
1682,11.311376130502412,7.440000903735922,PNPT1
1730,4.411599263908468,6.409339096001016,NECTIN2
1792,6.902754194814745,7.006919174903618,SNRNP40
1829,7.539062701268244,7.440000903735922,NSUN5
1928,6.947570222976821,6.691700790039475,BCL2L13
1937,2.8240262461073593,3.4009864282199422,HELZ2
2143,12.10830664020224,7.587757791881383,LAMTOR3
2243,3.201985915706466,8.148213158808485,SAMHD1
2284,2.573820575635461,8.174768418895347,OAS3
