,fold_change,-log10(fdr_BH),Gene
7,2.9613758184928622,3.8135071395785767,CNOT1
69,8.165668161912398,7.088195922607619,TNFRSF10B
75,2.8711417368691294,8.01899808688688,IFIT3
77,12.067335501800049,9.300575865008256,LIN7A
84,5.343857389343485,5.431372175662958,GAK
127,6.407640085839259,5.79045175591857,SART1
205,15.66426646112685,8.133462280578733,PPP1R11
274,3.3211930579064513,5.428137948716614,LTN1
354,0.1873846579535414,8.264368642622369,KNG1
482,2.9015462151559324,8.240831075460603,IFIT2
483,19.784759068467235,8.264368642622369,IFIT1
638,2.9493066699468073,5.213661533094249,MX1
776,13.52135127160809,8.34074600368291,HLA-B
958,4.226019818632657,3.972334459579633,PRRC2A
1048,18.16011222487735,12.163064146868242,KPNA1
1348,0.07437286342221665,8.01899808688688,PLP2
1369,32.351764117589774,10.254796033735332,ACTN3
1398,0.14679222713844287,8.228637533573618,FAP
1465,6.805264818406736,7.481190065340954,CUL1
1582,9.38365519100292,8.53877854205108,SF3A2
1663,4.111679455629433,4.507195184727745,PARP14
1772,6.978767987119934,8.01899808688688,DDX46
1834,4.418239801069632,6.872430929160044,CCAR1
1861,5.0281464125906785,5.207055260044807,SYNPO
1995,6.007868573929572,5.8291007596949385,CUL5
2094,13.001273732250468,8.43857368541028,CCDC115
2102,10.862493108556878,7.408692746685194,FYTTD1
2159,11.30891648449305,8.993813169457228,MYD88
2230,0.06847160214001288,8.299177808292802,MRPL32
2270,0.06653996144835393,6.126197956340864,MRPL18
2421,10.988724709063069,6.538931425951288,DDX56
2436,8.899988065443416,8.63324855239026,NOP53
2453,12.392176845778305,8.53877854205108,RCOR3
2502,5.507037930642401,8.133462280578733,IPO11
2617,0.11018571846437401,6.721608406717116,RNF115
2669,8.338592146736353,7.309879123882744,IKBKG
