,fold_change,-log10(fdr_BH),Gene
10,3.8076931416832553,7.020475052625392,POM121C
38,8.60444770978616,7.066339800598241,SLC33A1
47,6.767420028961253,7.283975985512455,BTN3A3
59,0.12526336672395202,8.342179517201458,PPP6C
73,12.971900482562324,7.7747392452475825,TOR1A
75,15.148880880582691,8.255559492743052,TP53I11
76,7.625701775754221,9.211473379000962,ACOT8
85,2.9998319042561725,6.3353456445151055,IFIT3
98,2.4458212351284563,6.546451664160484,PLXNB2
100,0.15289451370498236,5.289370638641898,PFAS
109,0.05496911902069737,8.49408482523392,PFDN6
119,0.4716449689209974,5.056356704609351,EIF3H
132,13.073406145361277,9.323157633503902,NDUFS4
135,0.4812914223333213,5.195774127286547,PAPSS1
151,0.10972515138869332,7.400207173035556,ZNF207
169,17.16290743961094,9.425757586550644,NDUFS5
172,2.374886145570436,4.990766023095215,SMARCA5
196,15.102331048360476,9.854309560515684,MRPS14
210,0.15831315116839995,6.81578598175646,CLUH
213,0.08442197156471193,9.00328709729823,GGCT
217,10.12832240425433,9.459007026750395,NIPSNAP2
242,0.4112409997754635,5.530533305158021,CSDE1
247,0.14671407341574666,5.68896190552258,TIPRL
251,2.8468039708209782,6.975156102824473,SLC25A12
270,0.4406775503594668,4.010920899669012,PDE5A
275,0.19214703932430727,9.211473379000962,MICAL2
287,0.2405148298762321,8.255559492743052,ELP1
288,15.570388430054278,7.310865070047682,NDUFB4
294,21.435905817769203,8.959786067415987,NDUFC2
298,0.47109190214958074,3.1626267588008727,PAPSS2
300,0.4907179637726765,3.7259022181125063,IPO7
312,17.431535189718797,9.425757586550644,CDS2
313,0.48777520315824713,4.252747651205551,OXSR1
323,0.08040244386009877,8.954803822372346,GNA14
328,12.643059118117238,8.054693113053197,NDUFB10
340,0.4179525713744035,5.505781099836127,PNP
346,6.921551769232102,6.959886997399438,F2
362,17.539200289949274,9.905993516920171,CXCL10
365,0.08933383124968217,12.478744305793818,FTL
379,11.302260541041312,6.626577265627874,CD74
394,6.133670048594217,6.3254480390228185,SERPING1
398,2.8579623820811957,6.62277343343153,ICAM1
408,0.08465191709358233,7.121944722398628,CDK1
446,0.14004687261010937,6.713803766267853,PFKM
454,4.571229756546254,8.721411294211354,CFH
482,6.582938001090137,7.252019715670491,C1S
484,9.529152629727841,7.178827172501853,IFIT2
494,16.599530987138838,7.846078193194634,PIRT
503,39.003627129635866,9.749220148519704,HLA-C
507,2.0511666893238236,3.975239308921359,COX5B
542,3.0428318214905863,3.9810943276081407,F5
546,10.691888238885348,7.25892305529151,ANXA3
553,16.648245141161592,8.442994597203112,IFITM1
565,0.49407418334933356,4.310324945005308,APEH
583,21.339984173318133,9.400090197697674,IDO1
611,15.065766205559614,7.387580122071536,TMEM11
612,0.47868368674334205,3.7334340658362426,GOT1
615,4.924698822273503,6.873292938616019,UBTF
646,4.259860471547202,6.6798345966068124,ITIH2
674,2.152268875131514,5.51779736642778,TGM2
707,0.4570671974356596,4.833892989595498,RRM1
716,0.483224453404235,3.534576352655548,MCM3
722,9.697562833363097,8.00062279796089,CTSS
737,0.04740545086052848,9.86843210182773,HMGB2
748,0.48762703422255743,4.280668495514773,CAD
753,14.26195921862515,7.539291778629098,PSMB9
757,0.4615853088232202,6.499525819853771,PSMB5
762,15.495029480251103,8.488135020733317,SMARCA1
770,2.4366288382920214,5.346531565674905,EPHB2
793,25.417516121568493,9.905993516920171,HLA-B
820,5.522807350924961,9.085206359956231,GBP1
821,17.75584322398091,9.465216064821306,GBP2
831,0.4969666631454876,4.025796928858632,MCM7
851,8.176556140475547,6.194331335969392,SOAT1
870,6.5099006807609054,6.127833620615241,SERPINF1
893,0.4812054748112174,4.223187841579376,CAP2
906,0.08453991853350029,7.089958059378541,CETN2
919,0.11488872516913848,7.172637263644267,CASP3
1001,11.127525000428278,7.630711996103709,CEBPD
1017,0.1683607022894609,8.157515096531407,SEPHS1
1031,0.4832363402865652,4.671848488728973,DNM2
1032,0.1540492580928177,5.895209191128955,METAP2
1054,0.2551255459823191,5.049373498376471,USP11
1055,0.06277239082253902,6.944019548664986,DYNLT3
1076,0.11771667523721877,6.7368777724523845,AKR1C2
1099,4.744738953650867,4.857021695170908,CACNA2D1
1104,0.1191695569049523,8.174833973792513,RAD23A
1118,0.07958587872294065,9.493036585203148,ADK
1130,0.09323348889728603,9.414267579803868,BID
1141,0.06817718816796924,8.548157907557062,PCBP3
1232,2.0063256101131475,3.726420232675556,HIST1H4A
1282,0.019482093211838837,9.905993516920171,TUBA4A
1287,2.0254392181982532,4.049594735388991,HBA1
1288,5.365381047111169,4.436050526266632,NOP14
1324,0.06725119548311516,8.205795923612445,PITPNA
1342,0.20271863928235948,7.049894220677533,OCRL
1347,0.06181005280298525,8.49408482523392,MAP2K1
1352,5.956208973507598,6.25003335852372,TOP2B
1357,3.338129888895196,6.675727182318784,TAP2
1389,2.3617063903535853,6.5745885054668,LGALS3BP
1419,0.1889633937859644,5.904786310508779,COASY
1440,13.200503682921203,6.959886997399438,NMI
1443,0.4674775866967663,5.608950617182922,ATM
1490,0.0809595958640555,8.294553102911992,IDI1
1491,0.06472620823350958,8.741330574430325,CBFB
1492,0.4867978521766519,3.76978514257203,CKAP5
1501,2.168614944832627,3.336715159668384,BOP1
1525,0.12749609898606332,7.449307424614823,PRPSAP1
1526,0.3785372942276853,5.98744446875288,MCM6
1531,6.335847857453185,6.62277343343153,BMS1
1553,0.49503781723218726,3.420785057607692,PSMD6
1568,0.4218393967177226,4.226265808145809,EEA1
1582,0.2679352760754881,5.836913635147626,LLGL1
1599,0.09259668412780422,8.006482688901643,SEC23B
1625,0.4989001612971787,4.411032608123118,PSMD5
1682,12.881188651519393,7.503528125025898,TMEM97
1700,0.3477214702856485,4.85904024262374,CEP170
