,fold_change,-log10(fdr_BH),Gene
0,9.036306807142024,9.33252475894102,NUDT4B
2,5.058862745575171,6.982103039069653,ESYT2
4,3.208521097066383,5.599507951333968,NBAS
8,2.0168064356803366,4.374238051552282,SMCHD1
26,10.435453180929935,6.857871758835467,NDUFS8
30,2.45873781378836,5.922968907702019,PGRMC1
36,6.264746967609276,7.797745364516849,SLC33A1
42,7.226830202636684,8.022549804657876,GOLIM4
45,11.264442432186378,9.478269043208304,BTN3A3
57,10.358607565884407,10.898302729553684,PLPP1
60,8.8336336945029,10.016443370620964,CYB561D2
65,6.68301121796034,7.12331258343512,STX16
76,4.164155516767393,7.906747879778706,IFIT3
79,9.526508332399676,8.604990768397036,LIN7A
82,23.812535882467465,9.103147830854244,UQCRQ
87,5.92356126136788,7.617472241107402,PLXNB2
107,7.863638696887603,6.954996002131955,BCAT2
130,3.7301268992133805,7.109055201192301,PRPF3
143,20.68349236992883,10.898302729553684,NDUFA2
163,2.0583126895354455,5.137816439668431,SMARCA5
164,2.0858545246916007,3.826515133384384,URB1
198,8.781430416445623,9.621660034829343,NDUFS7
199,6.167882099455232,6.272514650255447,NDUFS2
205,2.169236398291849,4.5322540000258,H2AFY
211,16.373871229488188,7.980471738101991,MTX2
215,2.0292154218179546,3.176220393995152,NDUFS3
216,6.797429927728867,6.30441899488917,CA11
219,2.0937835399093845,4.824523009802265,ECI2
229,11.912872545739349,9.141031108216907,SLC25A12
235,7.414509831201581,10.002689770358517,SCO1
241,2.179924356855027,3.653662566073872,FLOT1
247,2.264819975169889,5.342993825362012,WFS1
271,7.780808702800789,8.391137730622809,MPZL1
288,8.723484463648544,8.40700707919016,CDS2
293,4.239237556359132,6.8790779953570445,DDX58
302,9.369621911027865,9.478269043208304,NDUFB10
304,8.177906515982341,7.857880383165144,TOMM40
317,2.184578999267583,4.10830965005516,EGFR
320,4.690788603443521,5.585713234834532,F2
321,8.322857502806725,7.188388451673355,C1R
327,2.9386443704411853,8.52968575552637,HLA-B
328,2.2877905257187723,10.835070477889523,HLA-A
335,4.743038053640274,6.657117830562091,GC
340,5.748882179642605,8.86433083186894,VTN
346,2.0258868829768435,3.646239224418961,SOD2
349,6.896564699920085,6.901385335156576,CD74
360,11.95535806286197,9.50546933796858,ATP1B1
364,6.256178316624786,7.807124587183085,SERPING1
368,3.194542641079767,9.080952884139046,ICAM1
375,7.569347089147975,8.151998378947685,GLA
386,2.483043641051167,6.163646642686222,ITGAV
416,3.21267881641928,4.550533263818864,ABCB1
427,2.507901130595402,5.066929449012519,ITGA5
430,22.83189335835259,9.75002929058269,GNAI3
453,8.48066577965332,10.227934994797966,C1S
455,19.927106055559012,9.866497448527698,IFIT2
456,3.63856593036991,8.457115494766004,IFIT1
460,3.147682629566306,2.716903158105532,C4A
471,2.1949057531269713,7.147589795617899,RRAS
473,2.525953970541009,9.588766561247157,HLA-C
493,15.861809409509698,7.54451897396185,RALB
509,26.453695135957634,11.176556711492609,SLC25A4
511,2.815963836993242,4.031718621373844,F5
530,26.902689602163367,9.640412906217431,HLA-E
538,13.280853549148109,7.967657973483411,CD99
551,26.884042077367575,10.92956320148982,IDO1
571,4.6568305021923075,5.895294323812867,GCFC2
584,2.147818390328381,3.525186975723169,ITGA2
604,9.684336319715626,6.917733950509244,RCC1
605,6.879548569081501,8.474922758326086,ADRA2C
613,2.3779246313718643,6.913285911101024,TYMP
625,2.7316542493830287,4.746247331460128,LMNB1
635,2.1514186865209477,4.259966492887018,NT5E
636,2.730573585576711,7.639321694875787,VDAC1
640,2.0254157703955364,4.122457320944005,TGM2
655,2.0538884104941495,4.696845486142083,UQCRC2
