category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0005829	60	2919	9606	RNASEH2A,EDF1,LAP3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,BST2,NARS,OASL,PPM1F,HERC6,XRN1,XPO5,PFKL,DYNC1LI1,UCHL1,UBE2L6,DTX3L,NAA15,GCN1,STAT2,TRIM25,MAP1S,CNDP2,TACC3,MX2,UBE2V1,PLSCR1,WARS,RRM2,STAT1,PNP,IFI16,IFIT1,IFIT3,YARS,DFFA,ISG15,DDX58,SAMD9,PIR,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,IFI35,DHFR,PDCD6IP,MMS19,PARP14,GMPS,ARMC8,TJP2,TXNIP,RNF213	RNASEH2A,EDF1,LAP3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,BST2,NARS,OASL,PPM1F,HERC6,XRN1,XPO5,PFKL,DYNC1LI1,UCHL1,UBE2L6,DTX3L,NAA15,GCN1L1,STAT2,TRIM25,MAP1S,CNDP2,TACC3,MX2,UBE2V1,PLSCR1,WARS,RRM2,STAT1,PNP,IFI16,IFIT1,IFIT3,YARS,DFFA,ISG15,DDX58,SAMD9,PIR,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,IFI35,DHFR,PDCD6IP,MMS19,PARP14,GMPS,ARMC8,TJP2,TXNIP,RNF213	9.85e-21	2.28e-17	Cytosol	16.642065152999546	0.5570422997231379	9.270334244969161
COMPARTMENTS	GOCC:0005737	89	7871	9606	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,BST2,TRIM21,AP3B1,CMPK2,NARS,OASL,PPM1F,HERC6,XRN1,XPO5,ANLN,PFKL,DYNC1LI1,UCHL1,UBE2L6,MYO1E,DTX3L,HMGB2,NAA15,PCLAF,GCN1,ISG20,STAT2,COG4,HMGCS1,TRIM25,MAP1S,CNDP2,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,TRIM14,HMGB1,PLSCR1,WARS,DYNLRB1,STRN3,PARP9,RRM2,STAT1,PNP,IFI16,CTSS,GBP2,IFIT1,IFIT3,IFIT2,YARS,HLA-E,DFFA,ISG15,DDX58,SAMD9,TRIM22,PIR,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,EIF2A,PARP14,GMPS,ARMC8,TJP2,TXNIP,RNF213,LSM4	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,BST2,TRIM21,AP3B1,CMPK2,NARS,OASL,PPM1F,HERC6,XRN1,XPO5,ANLN,PFKL,DYNC1LI1,UCHL1,UBE2L6,MYO1E,DTX3L,HMGB2,NAA15,KIAA0101,GCN1L1,ISG20,STAT2,COG4,HMGCS1,TRIM25,MAP1S,CNDP2,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,SP100,TRIM14,HMGB1,PLSCR1,WARS,DYNLRB1,STRN3,PARP9,RRM2,STAT1,PNP,IFI16,CTSS,GBP2,IFIT1,IFIT3,IFIT2,YARS,HLA-E,DFFA,ISG15,DDX58,SAMD9,TRIM22,PIR,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,EIF2A,PARP14,GMPS,ARMC8,TJP2,TXNIP,RNF213,LSM4	2.45e-16	2.82e-13	Cytoplasm	12.549750891680638	0.2974852385761943	3.7333656380834217
COMPARTMENTS	GOCC:0005622	104	11202	9606	PSME2,RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,BST2,TRIM21,AP3B1,CMPK2,NARS,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,UBE2L6,MYO1E,DTX3L,HMGB2,NAA15,PCLAF,TPX2,GCN1,ISG20,STAT2,COG4,UGDH,HMGCS1,TRIM25,MAP1S,CNDP2,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,PPM1G,SP100,TRIM14,HMGB1,PLSCR1,WARS,TBCD,DYNLRB1,STRN3,PARP9,RRM2,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,DFFA,ISG15,DDX58,SAMD9,TRIM22,PIR,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,EIF2A,HELZ2,PARP14,GMPS,ARMC8,TJP2,TOP3A,TUBB8,TXNIP,RNF213,LSM4	PSME2,RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,BST2,TRIM21,AP3B1,CMPK2,NARS,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,UBE2L6,MYO1E,DTX3L,HMGB2,NAA15,KIAA0101,TPX2,GCN1L1,ISG20,STAT2,COG4,UGDH,HMGCS1,TRIM25,MAP1S,CNDP2,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,PPM1G,SP100,TRIM14,HMGB1,PLSCR1,WARS,TBCD,DYNLRB1,STRN3,PARP9,RRM2,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,DFFA,ISG15,DDX58,SAMD9,TRIM22,PIR,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,EIF2A,HELZ2,PARP14,GMPS,ARMC8,TJP2,TOP3A,TUBB8,TXNIP,RNF213,LSM4	1.2e-15	9.25e-13	Intracellular	12.033858267260968	0.21186291529356696	2.549528294731501
COMPARTMENTS	GOCC:0110165	105	13853	9606	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,APOL2,BST2,TRIM21,AP3B1,CMPK2,NARS,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,UBE2L6,MYO1E,DTX3L,HMGB2,NAA15,PCLAF,TPX2,GCN1,ISG20,STAT2,COG4,UGDH,HMGCS1,TRIM25,MAP1S,CNDP2,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,PPM1G,SP100,TRIM14,HMGB1,PLSCR1,WARS,TBCD,DYNLRB1,STRN3,PARP9,RRM2,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,DFFA,ISG15,DDX58,SAMD9,TRIM22,PIR,GPR155,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,EIF2A,HELZ2,PARP14,GMPS,ARMC8,TJP2,TOP3A,TUBB8,TXNIP,RNF213,LSM4	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,ATIC,RNF114,PTPN12,APOL2,BST2,TRIM21,AP3B1,CMPK2,NARS,OASL,SP110,SAMHD1,PPM1F,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,UBE2L6,MYO1E,DTX3L,HMGB2,NAA15,KIAA0101,TPX2,GCN1L1,ISG20,STAT2,COG4,UGDH,HMGCS1,TRIM25,MAP1S,CNDP2,RIC8A,TACC3,SETD3,MX2,SEC23B,UBE2V1,OAS2,PPM1G,SP100,TRIM14,HMGB1,PLSCR1,WARS,TBCD,DYNLRB1,STRN3,PARP9,RRM2,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT1,IFIT3,IFIT2,YARS,HLA-E,DFFA,ISG15,DDX58,SAMD9,TRIM22,PIR,GPR155,SEC31A,PSPH,LGALS9,MX1,SMS,TARS,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,EIF2A,HELZ2,PARP14,GMPS,ARMC8,TJP2,TOP3A,TUBB8,TXNIP,RNF213,LSM4	2.42e-08	1.4e-05	Cellular anatomical entity	4.853871964321762	0.12377060917679356	0.600766689890264
COMPARTMENTS	GOCC:0043229	80	9242	9606	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,AP3B1,CMPK2,OASL,SP110,SAMHD1,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,MYO1E,DTX3L,HMGB2,NAA15,PCLAF,TPX2,GCN1,ISG20,STAT2,COG4,UGDH,TRIM25,MAP1S,TACC3,SETD3,MX2,SEC23B,OAS2,PPM1G,SP100,HMGB1,PLSCR1,TBCD,DYNLRB1,STRN3,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT3,IFIT2,HLA-E,DFFA,ISG15,DDX58,TRIM22,PIR,SEC31A,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,HELZ2,ARMC8,TOP3A,TUBB8,RNF213,LSM4	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,PTPN12,BST2,TRIM21,AP3B1,CMPK2,OASL,SP110,SAMHD1,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,MYO1E,DTX3L,HMGB2,NAA15,KIAA0101,TPX2,GCN1L1,ISG20,STAT2,COG4,UGDH,TRIM25,MAP1S,TACC3,SETD3,MX2,SEC23B,OAS2,PPM1G,SP100,HMGB1,PLSCR1,TBCD,DYNLRB1,STRN3,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT3,IFIT2,HLA-E,DFFA,ISG15,DDX58,TRIM22,PIR,SEC31A,LGALS9,MX1,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,HELZ2,ARMC8,TOP3A,TUBB8,RNF213,LSM4	6.48e-07	0.0003	Intracellular organelle	3.5228787452803374	0.18144916713676595	0.6392234142549322
COMPARTMENTS	GOCC:0043226	82	9848	9606	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,PTPN12,APOL2,BST2,TRIM21,AP3B1,CMPK2,OASL,SP110,SAMHD1,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,MYO1E,DTX3L,HMGB2,NAA15,PCLAF,TPX2,GCN1,ISG20,STAT2,COG4,UGDH,TRIM25,MAP1S,TACC3,SETD3,MX2,SEC23B,OAS2,PPM1G,SP100,HMGB1,PLSCR1,TBCD,DYNLRB1,STRN3,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT3,IFIT2,HLA-E,DFFA,ISG15,DDX58,TRIM22,PIR,SEC31A,LGALS9,MX1,TARS,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,HELZ2,ARMC8,TOP3A,TUBB8,RNF213,LSM4	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,EIF2AK2,PTPN12,APOL2,BST2,TRIM21,AP3B1,CMPK2,OASL,SP110,SAMHD1,HERC6,XRN1,XPO5,POLA2,ANLN,RB1,PFKL,DYNC1LI1,UCHL1,MYO1E,DTX3L,HMGB2,NAA15,KIAA0101,TPX2,GCN1L1,ISG20,STAT2,COG4,UGDH,TRIM25,MAP1S,TACC3,SETD3,MX2,SEC23B,OAS2,PPM1G,SP100,HMGB1,PLSCR1,TBCD,DYNLRB1,STRN3,PARP9,WDHD1,STAT1,PNP,IFI16,CTSS,GBP2,IFIT5,IFIT3,IFIT2,HLA-E,DFFA,ISG15,DDX58,TRIM22,PIR,SEC31A,LGALS9,MX1,TARS,OAS1,KIFC1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,HELZ2,ARMC8,TOP3A,TUBB8,RNF213,LSM4	2.35e-06	0.0009	Organelle	3.0457574905606752	0.16459095678796537	0.5013041395154939
COMPARTMENTS	GOCC:0043232	38	3196	9606	EDF1,EIF2AK2,PTPN12,OASL,SAMHD1,XRN1,POLA2,ANLN,RB1,DYNC1LI1,MYO1E,HMGB2,TPX2,GCN1,ISG20,TRIM25,MAP1S,TACC3,SP100,HMGB1,PLSCR1,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,IFI16,IFIT5,DFFA,DDX58,OAS1,KIFC1,PDCD6IP,MMS19,TOP3A,TUBB8,RNF213,LSM4	EDF1,EIF2AK2,PTPN12,OASL,SAMHD1,XRN1,POLA2,ANLN,RB1,DYNC1LI1,MYO1E,HMGB2,TPX2,GCN1L1,ISG20,TRIM25,MAP1S,TACC3,SP100,HMGB1,PLSCR1,TBCD,DYNLRB1,PARP9,WDHD1,STAT1,IFI16,IFIT5,DFFA,DDX58,OAS1,KIFC1,PDCD6IP,MMS19,TOP3A,TUBB8,RNF213,LSM4	7.21e-06	0.0024	Intracellular non-membrane-bounded organelle	2.619788758288394	0.31930197030236496	0.8365037122974703
COMPARTMENTS	GOCC:0005634	47	4636	9606	RNASEH2A,EDF1,OAS3,TRIM21,OASL,SP110,SAMHD1,HERC6,XPO5,POLA2,ANLN,RB1,UCHL1,DTX3L,HMGB2,NAA15,PCLAF,TPX2,ISG20,STAT2,UGDH,TRIM25,MAP1S,MX2,PPM1G,SP100,HMGB1,PLSCR1,STRN3,PARP9,WDHD1,STAT1,IFI16,GBP2,DFFA,ISG15,TRIM22,PIR,LGALS9,MX1,IFI35,MMS19,HELZ2,ARMC8,TOP3A,RNF213,LSM4	RNASEH2A,EDF1,OAS3,TRIM21,OASL,SP110,SAMHD1,HERC6,XPO5,POLA2,ANLN,RB1,UCHL1,DTX3L,HMGB2,NAA15,KIAA0101,TPX2,ISG20,STAT2,UGDH,TRIM25,MAP1S,MX2,PPM1G,SP100,HMGB1,PLSCR1,STRN3,PARP9,WDHD1,STAT1,IFI16,GBP2,DFFA,ISG15,TRIM22,PIR,LGALS9,MX1,IFI35,MMS19,HELZ2,ARMC8,TOP3A,RNF213,LSM4	2.72e-05	0.007	Nucleus	2.154901959985743	0.2500795749716677	0.5388969662588483
COMPARTMENTS	GOCC:0043231	63	7476	9606	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,BST2,TRIM21,AP3B1,CMPK2,OASL,SP110,SAMHD1,HERC6,XPO5,POLA2,ANLN,RB1,UCHL1,DTX3L,HMGB2,NAA15,PCLAF,TPX2,ISG20,STAT2,COG4,UGDH,TRIM25,MAP1S,SETD3,MX2,SEC23B,OAS2,PPM1G,SP100,HMGB1,PLSCR1,STRN3,PARP9,WDHD1,STAT1,IFI16,CTSS,GBP2,IFIT3,IFIT2,DFFA,ISG15,TRIM22,PIR,SEC31A,LGALS9,MX1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,HELZ2,ARMC8,TOP3A,RNF213,LSM4	RNASEH2A,EDF1,LAP3,SLC15A3,OAS3,BST2,TRIM21,AP3B1,CMPK2,OASL,SP110,SAMHD1,HERC6,XPO5,POLA2,ANLN,RB1,UCHL1,DTX3L,HMGB2,NAA15,KIAA0101,TPX2,ISG20,STAT2,COG4,UGDH,TRIM25,MAP1S,SETD3,MX2,SEC23B,OAS2,PPM1G,SP100,HMGB1,PLSCR1,STRN3,PARP9,WDHD1,STAT1,IFI16,CTSS,GBP2,IFIT3,IFIT2,DFFA,ISG15,TRIM22,PIR,SEC31A,LGALS9,MX1,IFI35,DHFR,TAPBP,PDCD6IP,MMS19,HELZ2,ARMC8,TOP3A,RNF213,LSM4	0.00017	0.0395	Intracellular membrane-bounded organelle	1.4034029043735399	0.16979640107429583	0.2382927624198412
Process	GO:0060337	19	67	9606	OAS3,BST2,OASL,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,STAT1,GBP2,IFIT1,IFIT3,IFIT2,HLA-E,ISG15,MX1,OAS1,IFI35	OAS3,BST2,OASL,SAMHD1,ISG20,STAT2,MX2,OAS2,SP100,STAT1,GBP2,IFIT1,IFIT3,IFIT2,HLA-E,ISG15,MX1,OAS1,IFI35	2.58e-25	3.3200000000000002e-21	Type i interferon signaling pathway	20.478861916295962	1.6968039425795112	34.74861363911239
