	-log10(fdr_BH)	log2(fold_change)	Gene	fold_change
sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=1 SV=1	0.7349322816099793	-0.2834512775871979	GATD3B	0.8216231419076114
sp|A0A0U1RRL7|MMPOS_HUMAN Protein MMP24OS OS=Homo sapiens OX=9606 GN=MMP24OS PE=1 SV=1	0.12103035954163081	-0.07622457844178343	MMP24OS	0.9485366488232941
sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	0.8087089844418893	-0.4867105364994796	UBA6	0.7136504258942629
sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	0.2933724105266778	-0.19176969544644074	ESYT2	0.8755310839016658
sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0.10336222148325017	0.09120655597656613	ILVBL	1.065260709785304
sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	0.3193981976133378	-0.19051731580344855	NBAS	0.8762914478999496
sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	0.3633053942231521	-0.204494121340274	VWA8	0.8678429415157926
sp|A4D1E9|GTPBA_HUMAN GTP-binding protein 10 OS=Homo sapiens OX=9606 GN=GTPBP10 PE=1 SV=1	0.49802791909323496	0.09517710931685808	GTPBP10	1.068196534821748
sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1.4944982838603724	-0.2749088271612671	CNOT1	0.8265025483209506
sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=2 SV=1	1.3042745522093455	-0.15313157505283603	MAP1LC3B2	0.8992962917972352
sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	0.737314212203958	-0.40049174377980035	PGP	0.7576000106607684
sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1	0.4947713825419199	-0.13277143316153517	C5orf51	0.9120776549558153
sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	0.2526333314331988	0.06975743657712319	SMCHD1	1.0495402073334368
sp|A6NJ78|MET15_HUMAN Probable methyltransferase-like protein 15 OS=Homo sapiens OX=9606 GN=METTL15 PE=1 SV=1	0.7397043929448395	0.26508967908337344	METTL15	1.2017107465111472
sp|A6NKD9|CC85C_HUMAN Coiled-coil domain-containing protein 85C OS=Homo sapiens OX=9606 GN=CCDC85C PE=1 SV=1	0.18724398836986203	-0.12645755335176923	CCDC85C	0.9160780627775342
sp|A8MXV4|NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19 OS=Homo sapiens OX=9606 GN=NUDT19 PE=1 SV=1	0.31973089929279286	0.1022932833099307	NUDT19	1.0734784900449175
sp|B7ZW38|HNRC3_HUMAN Heterogeneous nuclear ribonucleoprotein C-like 3 OS=Homo sapiens OX=9606 GN=HNRNPCL3 PE=2 SV=1	0.58514141820426	0.09957987014461711	HNRNPCL3	1.0714613948716756
sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1	0.5395237979292098	-0.15987187811587666	MCRIP1	0.8951045592378337
sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	2.2413492196280322	-0.2800879879904199	NACA	0.8235407891135116
sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2	0.13133058147480173	0.10729591691833407	C11orf98	1.0772073038094119
sp|L0R6Q1|S35U4_HUMAN SLC35A4 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=SLC35A4 PE=3 SV=1	0.2537936745307535	0.12977660699360866	SLC35A4	1.0941242693105164
sp|L0R8F8|MIDUO_HUMAN MIEF1 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=MIEF1 PE=1 SV=1	0.35497397736016556	-0.16317981500208778	MIEF1	0.8930545366507378
