category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0043232	80	3196	9606	HNRNPL,HIST1H1D,HSPB1,LRPPRC,LMNB1,MCM4,RPL8,DDX18,MCM6,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,H2AFZ,NPM1,HSPA9,MCM7,HIST1H1E,RPL4,HP1BP3,PRKDC,TCP1,NCL,SMC1A,FLNC,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,TOP1,FH,PARP1,SYNE1,TPR,NES,LMNA,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HSPA1A,TCOF1,RSU1,PCNA,PSIP1,XRCC5,SRSF2,NUMA1,CDK1,ELAVL1,NOLC1,TOP2B,RHOA,RPL6,ILF3,STMN1,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,NEB	HNRNPL,HIST1H1D,HSPB1,LRPPRC,LMNB1,MCM4,RPL8,DDX18,MCM6,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,H2AFZ,NPM1,HSPA9,MCM7,HIST1H1E,RPL4,HP1BP3,PRKDC,TCP1,NCL,SMC1A,FLNC,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,TOP1,FH,PARP1,SYNE1,TPR,NES,LMNA,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HSPA1A,TCOF1,RSU1,PCNA,PSIP1,XRCC5,SRSF2,NUMA1,CDK1,ELAVL1,NOLC1,TOP2B,RHOA,RPL6,ILF3,STMN1,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,NEB	9.080000000000001e-32	2.1e-28	Intracellular non-membrane-bounded organelle	27.67778070526608	0.6012651754833014	16.64168567274014
COMPARTMENTS	GOCC:0070013	69	2812	9606	SF3A1,MTHFD1,PCK2,HNRNPL,CANX,LRPPRC,LMNB1,MCM4,DDX18,MCM6,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,MCM7,RPL4,PRKDC,NCL,SF3B2,SMC1A,TUBB,TUBB4B,H1F0,DDX21,SDAD1,PTBP1,SFPQ,XRCC6,LONP1,MATR3,TOP1,FH,PARP1,TPR,LMNA,SMARCA1,SPTAN1,HDAC1,HNRNPR,HSPA1A,TCOF1,PCNA,PSIP1,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,ELAVL1,NOLC1,PLD3,ALDH7A1,TOP2B,ILF3,FDXR,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	SF3A1,MTHFD1,PCK2,HNRNPL,CANX,LRPPRC,LMNB1,MCM4,DDX18,MCM6,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,MCM7,RPL4,PRKDC,NCL,SF3B2,SMC1A,TUBB,TUBB4B,H1F0,DDX21,SDAD1,PTBP1,SFPQ,XRCC6,LONP1,MATR3,TOP1,FH,PARP1,TPR,LMNA,SMARCA1,SPTAN1,HDAC1,HNRNPR,HSPA1A,TCOF1,PCNA,PSIP1,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,ELAVL1,NOLC1,PLD3,ALDH7A1,TOP2B,ILF3,FDXR,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	1.36e-25	1.05e-22	Intracellular organelle lumen	21.97881070093006	0.5926157335227805	13.024989025490006
COMPARTMENTS	GOCC:0043229	113	9242	9606	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,MCM4,RPL8,DDX18,MCM6,HNRNPH3,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,FLNC,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,MATR3,TOP1,FH,PARP1,SYNE1,TPR,NES,LMNA,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HNRNPR,HSPA1A,POFUT1,TCOF1,RSU1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,RHOA,RPL6,ILF3,STMN1,FDXR,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,NEB,CPSF1	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,MCM4,RPL8,DDX18,MCM6,HNRNPH3,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,FLNC,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,MATR3,TOP1,FH,PARP1,SYNE1,TPR,NES,LMNA,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HNRNPR,HSPA1A,POFUT1,TCOF1,RSU1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,RHOA,RPL6,ILF3,STMN1,FDXR,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,NEB,CPSF1	4.6799999999999994e-23	1.8e-20	Intracellular organelle	19.744727494896694	0.2900944384340452	5.7278356346653085
COMPARTMENTS	GOCC:0005694	40	894	9606	HIST1H1D,LRPPRC,MCM4,DDX18,MCM6,TMPO,SMARCA5,HNRNPU,H2AFZ,MCM7,HIST1H1E,HP1BP3,PRKDC,NCL,SMC1A,HIST1H1B,HIST2H2AB,HIST1H1C,H1F0,IPO4,HIST1H2BK,SFPQ,XRCC6,FH,PARP1,TPR,LMNA,FLNA,RBMX,SMARCA1,HDAC1,PCNA,PSIP1,XRCC5,SRSF2,CDK1,TTN,HIST3H2BB,HIST1H3A,MCM3	HIST1H1D,LRPPRC,MCM4,DDX18,MCM6,TMPO,SMARCA5,HNRNPU,H2AFZ,MCM7,HIST1H1E,HP1BP3,PRKDC,NCL,SMC1A,HIST1H1B,HIST2H2AB,HIST1H1C,H1F0,IPO4,HIST1H2BK,SFPQ,XRCC6,FH,PARP1,TPR,LMNA,FLNA,RBMX,SMARCA1,HDAC1,PCNA,PSIP1,XRCC5,SRSF2,CDK1,TTN,HIST3H2BB,HIST1H3A,MCM3	1.65e-22	5.45e-20	Chromosome	19.26360349772336	0.8535044316653564	16.441570955151146
COMPARTMENTS	GOCC:0005622	121	11202	9606	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,AARS,MCM4,RPL8,DDX18,MCM6,HNRNPH3,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,FLNC,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,SND1,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,MATR3,TOP1,FH,PARP1,EPRS,SYNE1,TPR,NES,LMNA,PHGDH,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,YARS,HDAC1,HNRNPR,IARS,HSPA1A,POFUT1,PSAT1,TCOF1,RSU1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,RHOA,RPL6,ILF3,STMN1,FDXR,TCEA1,TAGLN,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,NEB,CPSF1	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,AARS,MCM4,RPL8,DDX18,MCM6,HNRNPH3,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,FLNC,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,SND1,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,MATR3,TOP1,FH,PARP1,EPRS,SYNE1,TPR,NES,LMNA,PHGDH,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,YARS,HDAC1,HNRNPR,IARS,HSPA1A,POFUT1,PSAT1,TCOF1,RSU1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,RHOA,RPL6,ILF3,STMN1,FDXR,TCEA1,TAGLN,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,NEB,CPSF1	2.12e-22	6.14e-20	Intracellular	19.211831628858832	0.23627176111703974	4.539213293234522
COMPARTMENTS	GOCC:0031981	53	1791	9606	SF3A1,HNRNPL,LRPPRC,LMNB1,MCM4,DDX18,MCM6,NONO,SMARCA5,HNRNPU,H2AFZ,NPM1,MCM7,RPL4,PRKDC,NCL,SF3B2,SMC1A,H1F0,DDX21,SDAD1,PTBP1,SFPQ,XRCC6,MATR3,TOP1,PARP1,TPR,LMNA,SMARCA1,HDAC1,HNRNPR,HSPA1A,TCOF1,PCNA,PSIP1,XRCC5,SRSF2,NUMA1,CDK1,ELAVL1,NOLC1,TOP2B,ILF3,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	SF3A1,HNRNPL,LRPPRC,LMNB1,MCM4,DDX18,MCM6,NONO,SMARCA5,HNRNPU,H2AFZ,NPM1,MCM7,RPL4,PRKDC,NCL,SF3B2,SMC1A,H1F0,DDX21,SDAD1,PTBP1,SFPQ,XRCC6,MATR3,TOP1,PARP1,TPR,LMNA,SMARCA1,HDAC1,HNRNPR,HSPA1A,TCOF1,PCNA,PSIP1,XRCC5,SRSF2,NUMA1,CDK1,ELAVL1,NOLC1,TOP2B,ILF3,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	3.19e-22	8.18e-20	Nuclear lumen	19.087246696328677	0.6739622428850691	12.8640835939583
COMPARTMENTS	GOCC:0043226	115	9848	9606	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,MCM4,RPL8,DDX18,MCM6,HNRNPH3,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,FLNC,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,MATR3,TOP1,FH,PARP1,SYNE1,TPR,NES,LMNA,PHGDH,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HNRNPR,HSPA1A,POFUT1,TCOF1,RSU1,PCNA,PTPA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,RHOA,RPL6,ILF3,STMN1,FDXR,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,NEB,CPSF1	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,MCM4,RPL8,DDX18,MCM6,HNRNPH3,TMPO,CCT6A,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,FLNC,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,RPL7,TUBB4B,H1F0,DDX21,IPO4,MYO9A,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MAP4,LONP1,MATR3,TOP1,FH,PARP1,SYNE1,TPR,NES,LMNA,PHGDH,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HNRNPR,HSPA1A,POFUT1,TCOF1,RSU1,PCNA,PTPRA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,RHOA,RPL6,ILF3,STMN1,FDXR,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,NEB,CPSF1	3.64e-22	8.42e-20	Organelle	19.07468790850035	0.27013175956366337	5.152679007850934
COMPARTMENTS	GOCC:0005634	81	4636	9606	SF3A1,SALL4,HNRNPL,HIST1H1D,RALY,HSPB1,LRPPRC,LMNB1,MCM4,DDX18,MCM6,HNRNPH3,TMPO,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,NCL,SF3B2,SMC1A,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,H1F0,DDX21,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MATR3,TOP1,FH,PARP1,SYNE1,TPR,LMNA,SYNCRIP,FLNA,RBMX,SMARCA1,HDAC1,HNRNPR,HSPA1A,TCOF1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,CDK1,KHSRP,ELAVL1,NOLC1,MYT1L,TOP2B,ILF3,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	SF3A1,SALL4,HNRNPL,HIST1H1D,RALY,HSPB1,LRPPRC,LMNB1,MCM4,DDX18,MCM6,HNRNPH3,TMPO,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,NCL,SF3B2,SMC1A,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,H1F0,DDX21,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,MATR3,TOP1,FH,PARP1,SYNE1,TPR,LMNA,SYNCRIP,FLNA,RBMX,SMARCA1,HDAC1,HNRNPR,HSPA1A,TCOF1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,CDK1,KHSRP,ELAVL1,NOLC1,MYT1L,TOP2B,ILF3,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	1.4500000000000002e-21	3.05e-19	Nucleus	18.515700160653214	0.44512355072040294	8.241774199584293
COMPARTMENTS	GOCC:0032991	84	5142	9606	SF3A1,HMOX1,MTHFD1,HNRNPL,RALY,CANX,HSPB1,AARS,MCM4,RPL8,DDX18,MCM6,HNRNPH3,CCT6A,SMARCA5,HNRNPU,KPNB1,COL6A3,H2AFZ,NPM1,HSPA9,HSP90B1,MCM7,RPL4,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,DRG1,RPL7,H1F0,IPO4,SND1,MYO9A,XRCC6,DHDDS,MAP4,TOP1,FH,PARP1,EPRS,SYNE1,TPR,NES,PHGDH,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HNRNPR,IARS,HSPA1A,RSU1,PCNA,PTPA,PSIP1,XRCC5,NUMA1,TIMM9,CDK1,ELAVL1,NOLC1,ALDH7A1,IMMT,TOP2B,RHOA,RPL6,ILF3,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	SF3A1,HMOX1,MTHFD1,HNRNPL,RALY,CANX,HSPB1,AARS,MCM4,RPL8,DDX18,MCM6,HNRNPH3,CCT6A,SMARCA5,HNRNPU,KPNB1,COL6A3,H2AFZ,NPM1,HSPA9,HSP90B1,MCM7,RPL4,HNRNPD,PRKDC,KHDRBS1,SNRNP200,TCP1,NCL,SF3B2,SMC1A,DRG1,RPL7,H1F0,IPO4,SND1,MYO9A,XRCC6,DHDDS,MAP4,TOP1,FH,PARP1,EPRS,SYNE1,TPR,NES,PHGDH,SYNCRIP,INA,FLNA,RBMX,SMARCA1,SPTAN1,HDAC1,HNRNPR,IARS,HSPA1A,RSU1,PCNA,PTPRA,PSIP1,XRCC5,NUMA1,TIMM9,CDK1,ELAVL1,NOLC1,ALDH7A1,IMMT,TOP2B,RHOA,RPL6,ILF3,TCEA1,RPL18,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	9.260000000000001e-21	1.78e-18	Protein-containing complex	17.749579997691107	0.41592917288835146	7.38256812755529
COMPARTMENTS	GOCC:0043231	98	7476	9606	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,MCM4,DDX18,MCM6,HNRNPH3,TMPO,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,NCL,SF3B2,SMC1A,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,TUBB4B,H1F0,DDX21,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,LONP1,MATR3,TOP1,FH,PARP1,SYNE1,TPR,LMNA,SYNCRIP,INA,FLNA,RBMX,SMARCA1,HDAC1,HNRNPR,HSPA1A,POFUT1,TCOF1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,ILF3,FDXR,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	SF3A1,HMOX1,MTHFD1,PCK2,SALL4,HNRNPL,HIST1H1D,RALY,CANX,HSPB1,LRPPRC,LMNB1,MCM4,DDX18,MCM6,HNRNPH3,TMPO,NONO,SMARCA5,HNRNPU,KPNB1,H2AFZ,NPM1,HSPA9,HSP90B1,HNRNPUL2,MCM7,HIST1H1E,RPL4,HP1BP3,HNRNPD,PRKDC,KHDRBS1,SNRNP200,NCL,SF3B2,SMC1A,DRG1,HIST1H1B,HIST2H2AB,TUBB,HIST1H1C,TUBB4B,H1F0,DDX21,SDAD1,PTBP1,HIST1H2BK,SFPQ,XRCC6,LONP1,MATR3,TOP1,FH,PARP1,SYNE1,TPR,LMNA,SYNCRIP,INA,FLNA,RBMX,SMARCA1,HDAC1,HNRNPR,HSPA1A,POFUT1,TCOF1,PCNA,PSIP1,DUT,XRCC5,SRSF2,NUMA1,PSAP,TIMM9,CDK1,KHSRP,ELAVL1,NOLC1,PLD3,ALDH7A1,IMMT,SCFD1,MYT1L,TOP2B,ILF3,FDXR,TCEA1,RPL18,GTF2I,RSL1D1,TTN,HIST3H2BB,HIST1H3A,MCM3,HNRNPDL,CPSF1	5.61e-19	9.98e-17	Intracellular membrane-bounded organelle	16.00086945871263	0.32033874211901203	5.1256983952145205
