Protein	log2(fold_change)	-log10(fdr_BH)	Gene
sp|P21333|FLNA_HUMAN	-0.8326720571695381	41.52693334082502	FLNA
sp|P02545|LMNA_HUMAN	1.5558277672668164	41.23737013822706	LMNA
sp|P16403|H12_HUMAN	-2.245160495372565	31.56601106966109	HIST1H1C
sp|P10412|H14_HUMAN	-2.4316438996959464	29.892505726975195	HIST1H1E
sp|P78527|PRKDC_HUMAN	-0.7085314110165387	29.270988530990763	PRKDC
sp|P16402|H13_HUMAN	-2.3030281887356177	25.24869751342884	HIST1H1D
sp|P16401|H15_HUMAN	-2.2254307440206564	25.24869751342884	HIST1H1B
sp|P42704|LPPRC_HUMAN	-0.7471185987789369	24.681496743495952	LRPPRC
sp|P38159|RBMX_HUMAN	-0.8605216385062633	22.65430936120805	RBMX
sp|P22570|ADRO_HUMAN	2.028636211605555	20.18786688307693	FDXR
sp|Q14315|FLNC_HUMAN	1.4084425936533271	19.845146209566	FLNC
sp|P27816|MAP4_HUMAN	-0.9915252020079598	18.54102249874168	MAP4
sp|P49419|AL7A1_HUMAN	1.0332602908668906	18.444266222126483	ALDH7A1
sp|P43243|MATR3_HUMAN	-0.855766781458021	17.993267729307316	MATR3
sp|Q01995|TAGL_HUMAN	1.574945031981093	17.972895398961672	TAGLN
sp|P07437|TBB5_HUMAN	-0.8102618171579548	17.349141559910493	TUBB
sp|P49588|SYAC_HUMAN	-1.1464199736456244	16.774141022268328	AARS
sp|Q16822|PCKGM_HUMAN	-0.6823816795150337	16.71701860447819	PCK2
sp|P12270|TPR_HUMAN	-0.5976204753867025	16.716437644243737	TPR
sp|Q8WZ42|TITIN_HUMAN	-0.6779877475789715	15.795890488061342	TTN
sp|P14866|HNRPL_HUMAN	-0.9643171014918924	15.70308384964508	HNRNPL
sp|O43175|SERA_HUMAN	-0.9508184066985064	15.620834745488583	PHGDH
sp|P36776|LONM_HUMAN	-0.8525442665250144	15.061908363935489	LONP1
sp|Q8N257|H2B3B_HUMAN	-1.1529805204300287	15.05347787819654	HIST3H2BB
sp|P0DMV8|HS71A_HUMAN;sp|P0DMV9|HS71B_HUMAN	0.655281917754843	14.691461634421067	HSPA1A
sp|P48681|NEST_HUMAN	-0.6844078557904165	14.229765322130662	NES
sp|O75475|PSIP1_HUMAN	-1.313746977283567	14.2110922788231	PSIP1
sp|Q8NF91|SYNE1_HUMAN	-0.8547639672983275	13.991574326780643	SYNE1
sp|P12111|CO6A3_HUMAN	-0.7893799632326671	13.901259239722362	COL6A3
sp|P33991|MCM4_HUMAN	-1.1533382414281954	13.838513615870864	MCM4
sp|P04792|HSPB1_HUMAN	2.011468570910946	13.75561992675117	HSPB1
sp|Q14980|NUMA1_HUMAN	-0.8937653800763056	13.75561992675117	NUMA1
sp|P09874|PARP1_HUMAN	-0.7185074867402358	13.6859590338714	PARP1
sp|Q7KZF4|SND1_HUMAN	-0.8024625092629976	13.58238817180604	SND1
sp|P36578|RL4_HUMAN	-1.009054190695811	13.439210640631767	RPL4
sp|Q16891|MIC60_HUMAN	-0.7822549452972278	13.2413555889005	IMMT
sp|P11021|BIP_HUMAN	-0.571512067629299	13.224272262009222	HSPA5
sp|P23246|SFPQ_HUMAN	-0.7824946609683081	12.851237887495504	SFPQ
sp|Q16352|AINX_HUMAN	0.9474955554367828	12.848364921968972	INA
sp|P12004|PCNA_HUMAN	0.9565820186705538	11.951899540928158	PCNA
sp|Q9Y617|SERC_HUMAN	-0.6644148611571171	11.747897916722405	PSAT1
sp|O60506|HNRPQ_HUMAN	-0.8959737888905472	11.269895007620825	SYNCRIP
sp|P68371|TBB4B_HUMAN	-0.7673656542997215	11.268632585098654	TUBB4B
sp|Q00839|HNRPU_HUMAN	-0.9919270052625072	11.23338636283648	HNRNPU
sp|P14625|ENPL_HUMAN	-0.6438665719719406	11.067751174679303	HSP90B1
sp|Q8IV08|PLD3_HUMAN	1.1677478415691025	11.005765528475877	PLD3
sp|O60814|H2B1K_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN	-0.9576673025620668	10.824316262303247	HIST1H2BK
sp|Q13428|TCOF_HUMAN	-0.7217010668387597	10.723196736863365	TCOF1
sp|P20700|LMNB1_HUMAN	-0.755419836407775	10.51473048461512	LMNB1
sp|P42167|LAP2B_HUMAN	-0.8817740654398067	10.481761214291009	TMPO
sp|P16949|STMN1_HUMAN	-1.3943978116411295	10.305884029152748	STMN1
sp|Q14566|MCM6_HUMAN	-0.9976025371531324	10.18640552556083	MCM6
sp|Q12906|ILF3_HUMAN	-0.708074478143547	10.18640552556083	ILF3
sp|P07602|SAP_HUMAN	0.7441192527901477	10.14237928904594	PSAP
sp|Q53FA7|QORX_HUMAN	2.704777609188622	10.051952160891748	TP53I3
sp|P11586|C1TC_HUMAN	-0.7925204973698936	9.86137130631892	MTHFD1
sp|Q9Y4L1|HYOU1_HUMAN	-0.5530119082415088	9.796557683048356	HYOU1
sp|P13010|XRCC5_HUMAN	-0.8172640289609319	9.683933491401396	XRCC5
sp|Q15717|ELAV1_HUMAN	-0.792688953448578	9.579523067030804	ELAVL1
sp|P78347|GTF2I_HUMAN	-1.3338906859713948	9.307314057407435	GTF2I
sp|O14979|HNRDL_HUMAN	-0.9322793302338684	9.286081699371184	HNRNPDL
sp|P19338|NUCL_HUMAN	-0.6773024073536998	9.286081699371184	NCL
sp|Q9NR30|DDX21_HUMAN	-0.6289627806624907	9.112207792968912	DDX21
sp|P40227|TCPZ_HUMAN	-0.728995800598083	9.106003038456269	CCT6A
sp|Q02878|RL6_HUMAN	-0.8103933556696183	9.079608746634984	RPL6
sp|P33316|DUT_HUMAN	-1.2361487766794903	9.011423342488373	DUT
sp|P12956|XRCC6_HUMAN	-0.718062999128446	8.994783896031144	XRCC6
sp|P25205|MCM3_HUMAN	-1.3054339674639648	8.959479798981233	MCM3
sp|P22314|UBA1_HUMAN	0.475563974350103	8.889200373783185	UBA1
sp|O43390|HNRPR_HUMAN	-0.8752276482600079	8.755809380381708	HNRNPR
sp|Q14978|NOLC1_HUMAN	-0.6946259541118485	8.452434528520197	NOLC1
sp|Q92841|DDX17_HUMAN	-0.5779161394310675	8.309750319950279	DDX17
sp|O75643|U520_HUMAN	-0.5986605291100919	8.273159407959044	SNRNP200
sp|P26599|PTBP1_HUMAN	-0.7923747900181654	7.973812124973445	PTBP1
sp|Q9UJQ4|SALL4_HUMAN	-2.1063471698773	7.972040121830429	SALL4
sp|Q14974|IMB1_HUMAN	-0.9260649739849393	7.972040121830429	KPNB1
sp|P20929|NEBU_HUMAN	-0.7045886154640206	7.92149353683757	NEB
sp|P07814|SYEP_HUMAN	-0.6861274516377787	7.92149353683757	EPRS
sp|Q15459|SF3A1_HUMAN	-0.6429262004729059	7.865414798735528	SF3A1
sp|Q8TEX9|IPO4_HUMAN	-0.9519139983911448	7.710254304420631	IPO4
sp|B2RTY4|MYO9A_HUMAN	-0.9175659967826576	7.644985920270729	MYO9A
sp|Q10570|CPSF1_HUMAN	-1.0684299766715055	7.619287414083134	CPSF1
sp|P07305|H10_HUMAN	-0.9241909364750224	7.5909048772667855	H1F0
sp|P38646|GRP75_HUMAN	-0.6125306267116181	7.553618448298561	HSPA9
sp|Q9UL68|MYT1L_HUMAN	-1.0004734863333766	7.552069666662653	MYT1L
sp|P17987|TCPA_HUMAN	-0.6322102391998573	7.542996913503367	TCP1
sp|P18124|RL7_HUMAN	-0.7286625405528439	7.474080460766268	RPL7
sp|Q14204|DYHC1_HUMAN	-0.5371515086796227	7.422224105857518	DYNC1H1
sp|Q07020|RL18_HUMAN	-0.8928709625296467	7.4069070996644255	RPL18
sp|P41252|SYIC_HUMAN	-0.6141126030457564	7.228708670448969	IARS
sp|P62917|RL8_HUMAN	-0.6449827306565549	7.228708670448969	RPL8
sp|Q15404|RSU1_HUMAN	-1.2414696103271614	7.191517873617445	RSU1
sp|P07954|FUMH_HUMAN	-0.6329591618833385	7.090740047806138	FH
sp|Q86SQ9|DHDDS_HUMAN	-3.799143660881039	6.9970624895680364	DHDDS
sp|Q9H488|OFUT1_HUMAN	-1.9872866966077956	6.9878467711225785	POFUT1
sp|Q13547|HDAC1_HUMAN	-0.8959771114813273	6.896663883166001	HDAC1
sp|P09601|HMOX1_HUMAN	2.67945712981628	6.868574775042999	HMOX1
sp|Q08211|DHX9_HUMAN	-0.5647151205861467	6.853424518054475	DHX9
sp|P11387|TOP1_HUMAN	-1.4144050064590246	6.796657240348643	TOP1
sp|P54577|SYYC_HUMAN	-0.6237688507228925	6.79178749701777	YARS
sp|Q07666|KHDR1_HUMAN	-0.9095954832762464	6.710096962933069	KHDRBS1
sp|A4UGR9|XIRP2_HUMAN	0.8302286797419608	6.604967055388136	XIRP2
sp|O60264|SMCA5_HUMAN	-0.8575097320279335	6.541391952867701	SMARCA5
sp|O76021|RL1D1_HUMAN	-0.9093204840221192	6.492261623320515	RSL1D1
sp|Q9NVP1|DDX18_HUMAN	-0.9098241834439846	6.431177991654982	DDX18
sp|Q9Y5J7|TIM9_HUMAN	-1.368099130102436	6.396853335364338	TIMM9
sp|Q9UKM9|RALY_HUMAN	-0.8230688165147817	6.367789990688454	RALY
sp|Q8IUE6|H2A2B_HUMAN	-0.8913682836258663	6.311977049839683	HIST2H2AB
sp|P68431|H31_HUMAN;sp|Q16695|H31T_HUMAN;sp|Q71DI3|H32_HUMAN	-0.7584078156086621	6.2882153848936415	HIST1H3A
sp|Q8NCX0|CC150_HUMAN	-1.142179033497729	6.243816860386672	CCDC150
sp|Q15257|PTPA_HUMAN	-2.243974574234475	6.196288057418091	PTPA
sp|P27824|CALX_HUMAN	-0.7684075294845644	6.196288057418091	CANX
sp|Q01130|SRSF2_HUMAN	-2.131963639317731	6.1805424196705925	SRSF2
sp|Q14103|HNRPD_HUMAN	-0.8440812463190508	6.165659545397297	HNRNPD
sp|Q13435|SF3B2_HUMAN	-0.6377370443772148	6.161854224318639	SF3B2
sp|Q92945|FUBP2_HUMAN	-0.6112403696405906	6.141086004731906	KHSRP
sp|Q9Y295|DRG1_HUMAN	-1.1438639228675118	6.141086004731906	DRG1
sp|P35580|MYH10_HUMAN	-0.5523922457456407	6.097895796000807	MYH10
sp|Q13813|SPTN1_HUMAN	-0.653652042826881	6.081209319605346	SPTAN1
sp|P0C0S5|H2AZ_HUMAN;sp|Q71UI9|H2AV_HUMAN	-1.4877261554290653	6.081209319605346	H2AFZ
sp|P28370|SMCA1_HUMAN	-0.9131589427789406	6.056652402320076	SMARCA1
sp|Q02880|TOP2B_HUMAN	-0.9510554899335631	6.045249098425297	TOP2B
sp|Q5SSJ5|HP1B3_HUMAN	-0.7593137165929376	6.036058467097356	HP1BP3
sp|P61586|RHOA_HUMAN	-1.1045285988184954	5.993195583184541	RHOA
sp|Q8WVM8|SCFD1_HUMAN	-1.3066351562912233	5.989619655666087	SCFD1
sp|P33993|MCM7_HUMAN	-0.8708419009434555	5.9665577288301845	MCM7
sp|P31948|STIP1_HUMAN	-0.5197325622907165	5.779438429638049	STIP1
sp|P06493|CDK1_HUMAN	-1.0568833973976115	5.75161965581294	CDK1
sp|Q14683|SMC1A_HUMAN	-1.151598910808683	5.71344492191745	SMC1A
sp|Q1KMD3|HNRL2_HUMAN	-0.8412449216463516	5.71344492191745	HNRNPUL2
sp|P23193|TCEA1_HUMAN	-1.0658044932533055	5.7121458511480885	TCEA1
sp|Q9NVU7|SDA1_HUMAN	-1.9344784521588407	5.706937444776509	SDAD1
sp|Q15233|NONO_HUMAN	-0.6408349676528629	5.6659006405157495	NONO
sp|P42166|LAP2A_HUMAN	-0.8102014878610486	5.618990592325946	TMPO
sp|P06748|NPM_HUMAN	-0.8708832569826175	5.618990592325946	NPM1
sp|P31942|HNRH3_HUMAN	-0.7750589906336935	5.618990592325946	HNRNPH3
sp|Q92614|MY18A_HUMAN	-0.6342476552808817	5.570375469506788	MYO18A
sp|P55209|NP1L1_HUMAN	-0.7178564048952446	5.563565268454965	NAP1L1
sp|O75533|SF3B1_HUMAN	-0.7644940035126422	5.541215774104225	SF3B1
sp|P61978|HNRPK_HUMAN	-0.6870956215042341	5.530349573615086	HNRNPK
sp|Q02952|AKA12_HUMAN	0.6776309402427616	5.529865294289574	AKAP12
sp|Q86U86|PB1_HUMAN	-0.6831947429423042	5.505508591556928	PBRM1
sp|Q9UKV3|ACINU_HUMAN	-0.888553767927561	5.465990269140907	ACIN1
sp|P06576|ATPB_HUMAN	-0.5056490729379663	5.422386768664949	ATP5F1B
sp|O43143|DHX15_HUMAN	-0.7449864209967068	5.422386768664949	DHX15
sp|O00429|DNM1L_HUMAN	-0.6648780013702955	5.422386768664949	DNM1L
sp|Q06203|PUR1_HUMAN	0.9980782646649566	5.422386768664949	PPAT
sp|P49321|NASP_HUMAN	-0.7009922892616363	5.388234297525806	NASP
sp|Q99996|AKAP9_HUMAN	-0.6882522770659805	5.375411485818757	AKAP9
sp|P08243|ASNS_HUMAN	-0.6164618128816202	5.357184472500574	ASNS
sp|P62424|RL7A_HUMAN	-0.8572361730455149	5.315507657388341	RPL7A
sp|O00295|TULP2_HUMAN	-0.8860096133232989	5.312270669744761	TULP2
sp|O00139|KIF2A_HUMAN	-1.4681042945076843	5.291380595476146	KIF2A
sp|Q99798|ACON_HUMAN	-0.913823313215223	5.278937595959531	ACO2
sp|Q8IY67|RAVR1_HUMAN	-1.4179052433785262	5.278937595959531	RAVER1
sp|Q12931|TRAP1_HUMAN	-0.5771770085446537	5.267360130040496	TRAP1
sp|P33176|KINH_HUMAN	-0.5153583409680427	5.251249682983676	KIF5B
sp|Q08945|SSRP1_HUMAN	-0.7076082531196126	5.251120164227489	SSRP1
sp|Q8NC51|PAIRB_HUMAN	-0.5866316154724698	5.2308895697348605	SERBP1
sp|P30533|AMRP_HUMAN	1.0069905657353098	5.208209448371909	LRPAP1
sp|Q15424|SAFB1_HUMAN	-0.8681478619169489	5.180440041223528	SAFB
sp|Q9BVJ6|UT14A_HUMAN	-1.319998417668765	5.135388804868476	UTP14A
sp|P49411|EFTU_HUMAN	-0.525064852482618	5.12252735791815	TUFM
sp|Q92616|GCN1_HUMAN	-0.5951787050489219	5.113262797244135	GCN1
sp|P07339|CATD_HUMAN	0.714876175121552	5.110697264354843	CTSD
sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN	-0.4351015826049253	5.07683065601038	ACTB
sp|P39023|RL3_HUMAN	-0.6872546741650899	5.059776107147293	RPL3
sp|Q9NZI8|IF2B1_HUMAN	-0.5286702976767936	5.042826781432875	IGF2BP1
sp|Q96AY3|FKB10_HUMAN	0.5372094459621055	5.034087910847277	FKBP10
sp|P30153|2AAA_HUMAN	-0.5403717321221664	4.941690644015689	PPP2R1A
sp|A0AVT1|UBA6_HUMAN	-0.8367194284917672	4.940645575211417	UBA6
sp|P35658|NU214_HUMAN	-0.7526707368661529	4.924560209117382	NUP214
sp|Q5T4S7|UBR4_HUMAN	-0.5926131811936324	4.883070262136448	UBR4
sp|Q05D32|CTSL2_HUMAN	-1.9439789581755624	4.875797660607356	CTDSPL2
sp|Q5SW79|CE170_HUMAN	-1.4236213049646171	4.826425726551738	CEP170
sp|P62750|RL23A_HUMAN	-0.7297194221248745	4.816248101499214	RPL23A
sp|Q9NVI7|ATD3A_HUMAN	-0.561337766801978	4.78051274393429	ATAD3A
sp|P62906|RL10A_HUMAN	-0.6694460178932792	4.770162852217229	RPL10A
sp|Q01780|EXOSX_HUMAN	-0.9373001638076792	4.766588735492605	EXOSC10
sp|P55268|LAMB2_HUMAN	1.1462092456512405	4.746446072159155	LAMB2
sp|A5YM72|CRNS1_HUMAN	-0.8677788543080216	4.742008417268929	CARNS1
sp|Q86VP6|CAND1_HUMAN	-0.6608756984561723	4.7345736108576215	CAND1
sp|Q5VZB9|DMRTA_HUMAN	-2.129243080251847	4.730538325161308	DMRTA1
sp|Q8TE73|DYH5_HUMAN	-0.6225123067464575	4.719902437084455	DNAH5
sp|O15067|PUR4_HUMAN	-0.4293113824956386	4.711210556502669	PFAS
sp|Q03001|DYST_HUMAN	-0.4761419791694078	4.709189490321978	DST
sp|P05388|RLA0_HUMAN	-0.7737271695142813	4.709189490321978	RPLP0
sp|Q15029|U5S1_HUMAN	-0.7799243833803853	4.708049620307789	EFTUD2
sp|P08579|RU2B_HUMAN	-0.8215453799415324	4.701405091170421	SNRPB2
sp|Q8IYJ1|CPNE9_HUMAN	-0.7100416858602263	4.69548627446297	CPNE9
sp|A6NJ88|SGE2P_HUMAN	-1.3443007086466976	4.679275843764316	SAGE2P
sp|O76094|SRP72_HUMAN	-1.605513317955176	4.664824668997993	SRP72
sp|P23396|RS3_HUMAN	-1.010626815996385	4.655596675187079	RPS3
sp|Q14247|SRC8_HUMAN	0.5438036609427594	4.644608723243405	CTTN
sp|P27694|RFA1_HUMAN	-0.7700092812657034	4.643755052382341	RPA1
sp|P22234|PUR6_HUMAN	-0.8966363539605438	4.640107809876798	PAICS
sp|Q9Y2Z0|SGT1_HUMAN	-0.6591518690025461	4.562215308353357	SUGT1
sp|P30050|RL12_HUMAN	-0.6840556966346383	4.5496292599838375	RPL12
sp|Q15154|PCM1_HUMAN	-0.5415312763040674	4.535422198479858	PCM1
sp|Q14789|GOGB1_HUMAN	0.7200888035759545	4.52119102683794	GOLGB1
sp|Q8N1F7|NUP93_HUMAN	-0.7009979564633173	4.511192413519521	NUP93
sp|Q06830|PRDX1_HUMAN	0.5472204701816381	4.505325079188751	PRDX1
sp|Q13263|TIF1B_HUMAN	-0.5970582534234583	4.505325079188751	TRIM28
sp|P55084|ECHB_HUMAN	0.583410297414787	4.499858129325207	HADHB
sp|Q14684|RRP1B_HUMAN	-0.6808232533988725	4.499858129325207	RRP1B
sp|Q93062|RBPMS_HUMAN	-1.066204232300106	4.496339763449464	RBPMS
sp|P10599|THIO_HUMAN	0.7108481617133326	4.4907630986531855	TXN
sp|P68363|TBA1B_HUMAN	-0.5967950494962265	4.472985490337812	TUBA1B
sp|P52747|ZN143_HUMAN	-2.163752764146636	4.441623231537295	ZNF143
sp|P83731|RL24_HUMAN	-0.9046546203304588	4.439435883036	RPL24
sp|Q53GI3|ZN394_HUMAN	-0.7853690141504908	4.418527705797781	ZNF394
sp|P23588|IF4B_HUMAN	-0.6813071894097692	4.418527705797781	EIF4B
sp|P02794|FRIH_HUMAN	1.9162224547461315	4.374153747042237	FTH1
sp|P48637|GSHB_HUMAN	0.691247928420671	4.374026280276586	GSS
