Protein	N.Pept	Q.Pept	S/N	P(PECA)	S1	S2	Benjamini Hochberg FDR	log2(fold_change)	-log10(fdr_BH)	protein_id	Gene
sp|P21333|FLNA_HUMAN	126	66	22.263040773723827	1.3387937761603055e-45	0.6944436326922792	1.236790856860407	2.972122183075878e-42	-0.8326720571695381	41.52693334082502	['P21333']	FLNA
sp|P02545|LMNA_HUMAN	43	39	21.717462755744663	5.2156313004692595e-45	1.8684473495123504	0.6355211940480603	5.789350743520878e-42	1.5558277672668164	41.237370138227064	['P02545']	LMNA
sp|P16403|H12_HUMAN	17	17	31.690663473909847	3.6707703119524046e-35	0.3655666346310378	1.7331142968895832	2.716370030844779e-32	-2.2451604953725646	31.566011069661094	['P16403']	HIST1H1C
sp|P10412|H14_HUMAN	17	15	16.3159019673817	2.307816584155996e-33	0.3342804618951857	1.803469268171105	1.2808382042065776e-30	-2.4316438996959464	29.892505726975195	['P10412']	HIST1H1E
sp|P78527|PRKDC_HUMAN	160	71	12.729814831984662	1.2067810973342183e-32	0.7319907822843357	1.1961752707920807	5.3581080721639294e-30	-0.7085314110165387	29.270988530990763	['P78527']	PRKDC
sp|P16402|H13_HUMAN	18	15	9.539477910467532	1.778474129555955e-28	0.3505397710237282	1.7298875151040944	5.640303668020315e-26	-2.3030281887356177	25.248697513428837	['P16402']	HIST1H1D
sp|P16401|H15_HUMAN	16	15	17.414793310052076	1.778474129555955e-28	0.3743712200278764	1.7507488992668236	5.640303668020315e-26	-2.2254307440206564	25.248697513428837	['P16401']	HIST1H1B
sp|P42704|LPPRC_HUMAN	88	55	13.66642257323558	7.503091955293226e-28	0.7235789562395769	1.2144818711828995	2.0821080175938703e-25	-0.7471185987789369	24.681496743495952	['P42704']	LRPPRC
sp|P38159|RBMX_HUMAN	34	30	17.286975224191877	8.986284703221469e-26	0.688949676961983	1.2509222748194957	2.2166168934612957e-23	-0.8605216385062633	22.654309361208046	['P38159']	RBMX
sp|P22570|ADRO_HUMAN	21	17	7.310763792684486	2.922672427634447e-23	2.0465122963073754	0.5015728363851684	6.488332789348472e-21	2.028636211605555	20.187866883076932	['P22570']	FDXR
