dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P67809|YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	17	11	0.0008633385501729849	0.0	44.135802469135804	0.0	0.0006193868070610096	0.0	324	sp|P67809|YBOX1_HUMAN;sp|Q9Y2T7|YBOX2_HUMAN;sp|P16989|YBOX3_HUMAN	True
sp|P20930|FILA_HUMAN	Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	29	19	0.0001175011807787906	0.0	15.90741196749569	0.0	0.0006193868070610096	0.0	4061	sp|P20930|FILA_HUMAN	True
sp|Q9UII2|ATIF1_HUMAN	ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1	3	2	0.0004656853888835413	0.0	20.754716981132077	1.9546901553491467e-05	0.0006193868070610096	0.0	106	sp|Q9UII2|ATIF1_HUMAN	True
sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	29	19	0.0005783906607789922	0.0	27.757575757575758	0.0	0.0006193868070610096	0.0	825	sp|Q00839|HNRPU_HUMAN	True
sp|O75533|SF3B1_HUMAN	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	21	18	0.00026498355717146293	0.0	19.018404907975462	0.0	0.0006193868070610096	0.0	1304	sp|O75533|SF3B1_HUMAN	True
sp|P09651|ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	31	14	0.0013711847561570937	0.0	51.075268817204304	0.0	0.0006193868070610096	0.0	372	sp|Q32P51|RA1L2_HUMAN;sp|P22626|ROA2_HUMAN;sp|P09651|ROA1_HUMAN	True
sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	46	17	0.002144175596030356	0.0	58.640226628895185	0.0	0.0006193868070610096	0.0	353	sp|Q32P51|RA1L2_HUMAN;sp|P22626|ROA2_HUMAN;sp|P09651|ROA1_HUMAN	True
sp|P18077|RL35A_HUMAN	60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2	5	4	0.0007479189579038694	0.0	31.818181818181817	1.7242255634336305e-09	0.0006193868070610096	0.0	110	sp|P18077|RL35A_HUMAN	True
sp|P49748|ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1	25	21	0.0006280235524383636	0.0	40.916030534351144	0.0	0.0006193868070610096	0.0	655	sp|P49748|ACADV_HUMAN	True
sp|Q07065|CKAP4_HUMAN	Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2	57	29	0.0015579574305838075	0.0	58.97009966777409	0.0	0.0006193868070610096	0.0	602	sp|Q07065|CKAP4_HUMAN	True
sp|Q14151|SAFB2_HUMAN	Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1	18	13	0.0003107826939453644	0.0	18.677859391395593	0.0	0.0006193868070610096	0.0	953	sp|Q15424|SAFB1_HUMAN;sp|Q14151|SAFB2_HUMAN	True
