dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P20930|FILA_HUMAN	Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	42	27	0.0001613120993383897	0.0	19.2070918492982	0.0	0.0011402508551881414	0.0005701254275940707	4061	sp|P20930|FILA_HUMAN	True
sp|P67809|YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	22	12	0.0010590788932312177	0.0	53.39506172839506	0.0	0.0011402508551881414	0.0005701254275940707	324	sp|Q9Y2T7|YBOX2_HUMAN;sp|P16989|YBOX3_HUMAN;sp|P67809|YBOX1_HUMAN	True
sp|Q01130|SRSF2_HUMAN	Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4	2	2	0.00014115243167705247	0.0	8.597285067873303	0.0	0.0011402508551881414	0.0005701254275940707	221	sp|Q01130|SRSF2_HUMAN;sp|Q9BRL6|SRSF8_HUMAN	True
sp|Q9UII2|ATIF1_HUMAN	ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1	4	2	0.0005885790075590301	0.0	16.037735849056602	0.0	0.0011402508551881414	0.0005701254275940707	106	sp|Q9UII2|ATIF1_HUMAN	True
sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	32	20	0.0006049878768606757	0.0	34.303030303030305	0.0	0.0011402508551881414	0.0005701254275940707	825	sp|Q00839|HNRPU_HUMAN	True
sp|Q9NRW3|ABC3C_HUMAN	DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2	3	3	0.00024627384789969943	0.0	20.526315789473685	0.0	0.0011402508551881414	0.0005701254275940707	190	sp|Q9NRW3|ABC3C_HUMAN;sp|Q8IUX4|ABC3F_HUMAN;sp|Q96AK3|ABC3D_HUMAN	True
sp|P09651|ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	44	16	0.0018448471043382502	0.0	53.2258064516129	0.0	0.0011402508551881414	0.0005701254275940707	372	sp|P51991|ROA3_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN;sp|P09651|ROA1_HUMAN	True
sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	55	16	0.0024301810297940123	0.0	56.657223796033996	0.0	0.0011402508551881414	0.0005701254275940707	353	sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN	True
sp|P14314|GLU2B_HUMAN	Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2	31	17	0.0009157531339199683	0.0	49.24242424242424	0.0	0.0011402508551881414	0.0005701254275940707	528	sp|P14314|GLU2B_HUMAN	True
sp|O75533|SF3B1_HUMAN	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	26	21	0.0003109899817547329	0.0	20.552147239263803	0.0	0.0011402508551881414	0.0005701254275940707	1304	sp|O75533|SF3B1_HUMAN	True
sp|Q15149|PLEC_HUMAN	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	268	196	0.0008924184696166165	0.0	48.548249359521776	0.0	0.0011402508551881414	0.0005701254275940707	4684	sp|Q9UPN3|MACF1_HUMAN;sp|P58107|EPIPL_HUMAN;sp|Q15149|PLEC_HUMAN	True
sp|Q16643|DREB_HUMAN	Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4	28	19	0.0006729208376098618	0.0	49.30662557781202	0.0	0.0011402508551881414	0.0005701254275940707	649	sp|Q16643|DREB_HUMAN	True
sp|Q9P0Z9|SOX_HUMAN	Peroxisomal sarcosine oxidase OS=Homo sapiens OX=9606 GN=PIPOX PE=1 SV=2	6	6	0.0002399591338509892	0.0	18.974358974358974	0.0	0.0011402508551881414	0.0005701254275940707	390	sp|Q9P0Z9|SOX_HUMAN	True
