dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P20930|FILA_HUMAN	Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	31	19	0.00012043388325998703	0.0	15.611918246737257	0.0	0.0005790387955993051	0.0	4061	sp|P20930|FILA_HUMAN	True
sp|P67809|YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	23	13	0.0011199607724146326	0.0	53.39506172839506	0.0	0.0005790387955993051	0.0	324	sp|P67809|YBOX1_HUMAN;sp|Q9Y2T7|YBOX2_HUMAN;sp|P16989|YBOX3_HUMAN	True
sp|P11047|LAMC1_HUMAN	Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	29	24	0.0002843557007487202	0.0	25.295214418893725	0.0	0.0005790387955993051	0.0	1609	sp|P11047|LAMC1_HUMAN;sp|Q9Y6N6|LAMC3_HUMAN	True
sp|Q9UII2|ATIF1_HUMAN	ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1	3	1	0.00044651430302995195	0.0	9.433962264150944	0.0	0.0005790387955993051	0.0	106	sp|Q9UII2|ATIF1_HUMAN	True
sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	31	20	0.0005928266665682514	0.0	31.03030303030303	0.0	0.0005790387955993051	0.0	825	sp|Q00839|HNRPU_HUMAN	True
sp|Q9NRW3|ABC3C_HUMAN	DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2	4	3	0.0003321439727801748	0.0	20.526315789473685	0.0	0.0005790387955993051	0.0	190	sp|Q8IUX4|ABC3F_HUMAN;sp|Q9NRW3|ABC3C_HUMAN;sp|Q96AK3|ABC3D_HUMAN	True
sp|P09651|ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	39	15	0.0016540234128367575	0.0	47.8494623655914	0.0	0.0005790387955993051	0.0	372	sp|Q32P51|RA1L2_HUMAN;sp|P22626|ROA2_HUMAN;sp|P09651|ROA1_HUMAN;sp|P51991|ROA3_HUMAN	True
sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	55	18	0.0024581476739042683	0.0	58.640226628895185	0.0	0.0005790387955993051	0.0	353	sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN;sp|P22626|ROA2_HUMAN	True
sp|P14314|GLU2B_HUMAN	Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2	31	16	0.0009262916665128928	0.0	47.159090909090914	0.0	0.0005790387955993051	0.0	528	sp|P14314|GLU2B_HUMAN	True
sp|O75533|SF3B1_HUMAN	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	29	22	0.00035086527799439477	0.0	24.003067484662576	0.0	0.0005790387955993051	0.0	1304	sp|O75533|SF3B1_HUMAN	True
sp|P49748|ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1	21	16	0.0005058223096919457	0.0	32.97709923664122	0.0	0.0005790387955993051	0.0	655	sp|P49748|ACADV_HUMAN	True
