dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P67809|YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	29	11	0.0012525274095056443	0.0	41.66666666666667	0.0	0.0005680204487361545	0.0	324	sp|P16989|YBOX3_HUMAN;sp|P67809|YBOX1_HUMAN;sp|Q9Y2T7|YBOX2_HUMAN	True
sp|P20930|FILA_HUMAN	Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	44	28	0.00015161910816863914	0.0	22.605269638020193	0.0	0.0005680204487361545	0.0	4061	sp|P20930|FILA_HUMAN	True
sp|O60814|H2B1K_HUMAN	Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=HIST1H2BK PE=1 SV=3	29	7	0.003220784767300228	0.0	47.61904761904761	0.0	0.0005680204487361545	0.0	126	sp|Q96A08|H2B1A_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99880|H2B1L_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P33778|H2B1B_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|P58876|H2B1D_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P57053|H2BFS_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN	True
sp|Q9ULW0|TPX2_HUMAN	Targeting protein for Xklp2 OS=Homo sapiens OX=9606 GN=TPX2 PE=1 SV=2	6	6	0.00011239963458795975	0.0	10.977242302543507	0.0	0.0005680204487361545	0.0	747	sp|Q9ULW0|TPX2_HUMAN	True
sp|P11047|LAMC1_HUMAN	Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	28	24	0.00024352089880275187	0.0	23.741454319453076	0.0	0.0005680204487361545	0.0	1609	sp|P11047|LAMC1_HUMAN	True
sp|P52272|HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	31	21	0.0005942553283455216	0.0	34.794520547945204	0.0	0.0005680204487361545	0.0	730	sp|P52272|HNRPM_HUMAN	True
sp|Q12797|ASPH_HUMAN	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3	24	15	0.0004430740213045169	0.0	29.683377308707126	0.0	0.0005680204487361545	0.0	758	sp|Q12797|ASPH_HUMAN	True
sp|P30101|PDIA3_HUMAN	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	51	26	0.0014132306531014864	0.0	57.821782178217816	0.0	0.0005680204487361545	0.0	505	sp|P30101|PDIA3_HUMAN	True
sp|Q9UII2|ATIF1_HUMAN	ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1	3	1	0.00039604965583587713	0.0	9.433962264150944	0.0	0.0005680204487361545	0.0	106	sp|Q9UII2|ATIF1_HUMAN	True
sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	35	24	0.0005936744335964057	0.0	32.484848484848484	0.0	0.0005680204487361545	0.0	825	sp|Q00839|HNRPU_HUMAN	True
